id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpbloodslaves	gf	ga	gw	ge	gs	gd	gn	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	iceprot2	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	commaster	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	end
31	Eyecatcher	1-h wpn	2	E	1	W	1	548																																																																																																																																																																																																																																																											
32	Faithful	1-h wpn	2	E	1	S	1	102									1																																						1																																																																																																																																																																																																												
33	Midget Masher	2-h wpn	4	E	1			133																																																																																																																																																																																																																																																											
34	Elf Bane	1-h wpn	4	E	1	S	1	246																																																																																																																																																																																																																																																											
35	Implementor Axe	2-h wpn	4	E	1	D	1	181																																																												10																																														25																																																																																																																																																	
36	Enchanted Sword	1-h wpn	0	S	1			75																																																																																																																																																																																																																																																											
37	Enchanted Spear	1-h wpn	0	S	1			120																																																																																																																																																																																																																																																											
38	Enchanted Pike	2-h wpn	0	S	1			220																																																																																																																																																																																																																																																											
39	Herald Lance	1-h wpn	4	S	2			109																																																											1																																																															Solar Rays																																																																																																																																	
40	Bane Blade	1-h wpn	2	D	1			42																																																																																																																																																														53																																																																																													
41	Bane Blade	2-h wpn	2	D	1			41																																																																																																																																																														53																																																																																													
42	Doom Glaive	2-h wpn	2	D	1	S	1	430																																																																																																																																																																																																																																																											
43	Hardwood Club	1-h wpn	0	N	1			692																																																																																																																																																																																																																																																											
44	Hunter's Knife	1-h wpn	2	N	1			242																																																																																																																																																																																																																																																											
45	Thorn Spear	1-h wpn	2	N	1			79																																																																																																																																																														16	59																																																																																												
46	Thorn Staff	2-h wpn	2	N	1			81																																																																																																																																																														16	59																																																																																												
47	Shillelagh	1-h wpn	2	N	1			701																																															1																																																																																							48	18																		592																																																																																																		
48	Vine Whip	1-h wpn	2	N	2			136																																																																																																																																																																																																																																																											
49	Gloves of the Gladiator	2-h wpn	2	N	2			128																		1		3																																																																																																																																										46	81																																																																																												
50	Knife of the Damned	1-h wpn	2	N	1	S	1	117																																																				1		1																																																																																																																																																																																																					
51	Jade Knife	1-h wpn	2	N	1	B	1	309																																																																																																																																						86	51	12							2																																																																																																												
52	Anemone Mace	1-h wpn	2	W	1			653																																																																																																																																						37	74	107																																																																																																																			
53	Serpent Kryss	1-h wpn	4	N	1			297					5																																																																																																																																																									81	98																																																																																												
54	Snake Bladder Stick	1-h wpn	4	N	1			183																																																																																																																																																																																																																																																											
55	Thistle Mace	1-h wpn	4	N	2			163																																																																									1																																																																																																																																																																																		
56	Whip of Command	1-h wpn	4	N	1			140																																																								100			-2																																																																																																																																																					3																																											
57	Rat Tail	1-h wpn	4	N	1			138																																																																																																																																																																																														4																		1																																											
58	Skull Standard	2-h wpn	4	N	2	D	1	100																																																												5																																																														Panic																																				59																																																																																													
59	Summer Sword	1-h wpn	4	N	2	E	1	178																																																																																																													100													Tangle Vines																																																																																																																																	
60	Axe of Hate	1-h wpn	6	N	2			412					-15																																																																																																																																																																																																																																																						
61	Treelord's Staff	2-h wpn	6	N	5			238																															1																																										2									1																																				1																																																																																																																																					
62	Sceptre of Authority	1-h wpn	2	F	1			172																																																								25																																																																		Combustion																																																																																																																																	
63	Just Man's Cross	2-h wpn	2	F	1			161																																																																																																																																																														50																																																																																													
64	Thunder Whip	1-h wpn	2	A	1			208		5																																																																																																																																																																																																																																																									
65	Trueshot Longbow	2-h wpn	2	A	1			152																																																																																																																																																																																																																																																											
66	Ice Pebble Staff	2-h wpn	2	W	3			238				5																																																																																																																						Numbness																																																																																																																																	
67	Piercer	2-h wpn	2	E	1	A	1	168																																																																																																																																																																																																																																																											
68	Rod of the Leper King	1-h wpn	2	D	1			172																																																					1				50																																																																																																																																																																																																		
69	Duskdagger	1-h wpn	2	D	1	S	1	129																																																																																																																																																														61																																																																																													
70	Black Bow of Botulf	2-h wpn	2	D	1			155																																																																																																																																																																																																																																																											
71	Staff of Flame Focus	2-h wpn	2	F	1			238																																																																												1																																																																																																																																																																															
72	Fire Bola	1-h wpn	4	F	1			301																																																																																																																																																																																																																																																											
73	Wand of Wild Fire	1-h wpn	4	F	3			172																																																																																																																										Fireball																																																																																																																																	
74	Cockerel Scepter	1-h wpn	4	F	2			659																																																																																																																										Holy Pyre												50																																																																																																																					
75	Lightning Spear	1-h wpn	4	A	1			278		5																																																																																																																																																																																																																																																									
76	Vajra	1-h wpn	4	S	2			705		10																																																																																																																								Lightning Bolt												25	63																																																																																																																				
77	Thunder Bow	2-h wpn	4	A	2			243																																																																																																																																																																																																																																																											
78	Golden Arbalest	2-h wpn	4	A	1	E	1	565																																																																																																																																																																																																																																																											
79	Vision's Foe	2-h wpn	4	A	1	D	1	332																																																																																																																																																																																																																																																											
80	Staff of Corrosion	2-h wpn	4	W	2	F	1	238																																																																																																																										Acid Bolt																																																																																																																																	
81	Rune Smasher	1-h wpn	4	W	2	F	2	233																												2																																																																																																																																																																																																																															
82	Starfire Staff	1-h wpn	4	S	2			172																																																																																1																																										Star Fires																																																																																																																																	
83	Wraith Sword	2-h wpn	4	D	2			110																																																																																																																																																																																																																																																											
84	Skull Staff	2-h wpn	4	D	2			238																																																																								1																																																																																																																																																																																			
85	Vine Bow	2-h wpn	4	N	1			303																																																																																																																																																																																																																																																											
86	Flesh Eater	1-h wpn	4	B	1			149																																																																																																				3																																																																																																																																																							
87	Heart Finder Sword	1-h wpn	4	B	2			111																																																																																																																																																																																																																																																											
88	Dragon Sceptre	1-h wpn	6	F	2			151																																																																																																																										Flame Bolt																													1																																																																																																				
89	Rod of the Phoenix	1-h wpn	6	F	4			151																																																																																																																										Incinerate																																																																																																																																	
90	Staff of Elemental Mastery	2-h wpn	6	F	4	W	4	238			5	5																																																															1	1	1	1						1	1	1	1																																																																																																																																																																												
91	Carmine Cleaver	2-h wpn	6	F	2	E	1	570			5																																																																																																			1																																																																																																																																																					
92	Evening Star	1-h wpn	6	F	1	D	1	304																																																																																																																																																																																																																																																											
93	Bow of War	2-h wpn	6	A	1			154																																																																																																																																																																																																																																																											
94	Staff of Storms	2-h wpn	6	A	5			105																																																																																																																								Storm		Lightning Bolt																			5																																																																																																														
95	Star of Thraldom	1-h wpn	6	A	1			218																																																																																																																																																																																																																																																											
96	Staff of Elemental Mastery	2-h wpn	6	A	4	E	4	238		5																																																1																	1	1	1	1						1	1	1	1																																																																																																																																																																												
97	Demon Bane	2-h wpn	6	W	1			436			15																																																																																																																																																									5																																																																																															
98	Wave Breaker	2-h wpn	6	W	3			83																																							1																																																																																	Friendly Currents																																																																																																																																			
99	Gate Cleaver	2-h wpn	6	E	3			169																																																																																																																																																																																																																		50																																									
100	Moon Blade	2-h wpn	4	S	1			289																																																																																																																																																																																																																																																											
101	Ethereal Crossbow	2-h wpn	6	S	1			180																																																																																																																																																																																																																																																											
102	Jellyberd	2-h wpn	6	S	1	F	1	656																20																																																																																																																						74	107																																																																																																																				
103	Banefire Crossbow	2-h wpn	6	D	1			434																																																				1																																																																																																																																																																																																							
104	Shadow Brand	1-h wpn	6	D	2	E	1	395																																																																																																																																																																																																																																																											
105	Ivory Bow	2-h wpn	6	D	3	A	1	566																																																									5																																																																																																																																																																																																		
106	Standard of the Damned	2-h wpn	6	D	4			100																																																												5																																																														Drain Life																																																																																																																																	
107	Banner of the Northern Star	2-h wpn	6	S	4			100																		-2																																																																																																						Light of the Northern Star																																																																																																																																			
108	Blood Thorn	1-h wpn	6	B	3			101																																																																										1																																																																																				91																																																																																													
109	Hell Sword	2-h wpn	6	B	2	F	2	241			10																																																																																																	3																																																																																																																																																							
110	Demon Whip	1-h wpn	6	F	1	B	1	277																																																																																																																																																																															10																																																																												
111	O'al Kan's Sceptre	1-h wpn	8	F	2			410				5																																																				50																				1																																														Fireball																																																																																																																																	
112	Unquenched Sword	1-h wpn	8	F	5			84																																																																																																				1																				Heat from Hell																																																																																																																																			
113	Ember	1-h wpn	8	F	2	W	2	191			10	10																																																																																																																																																																																																																																																							
114	Sword of Justice	2-h wpn	8	F	3	S	3	170			5																																																																								1																																															Prison of Fire																																																					100	100																																																																											
115	Bow of the Titans	2-h wpn	8	A	3	S	2	678																																																																													1																																													Seeking Arrow																																																																																														18																																			
116	Tempest	2-h wpn	8	A	5			113		15																																																																																																																						Storm		Thunder Strike																																																																																																																																	
117	Winter Bringer	1-h wpn	8	W	2			151																																																																																																																										Falling Frost																																																																																																																																	
118	Trident from Beyond	2-h wpn	8	W	3	S	2	193																																																																					1																																																																																																																																																																																						
119	Dawn Fang	1-h wpn	8	E	1	S	1	555									1									1																																											1																																																																																																																																																																																														
120	The Summit	1-h wpn	8	E	4			162																																																																																																																																																																																																																																																											
121	The Stone Sword	2-h wpn	8	E	5			103																																																																																																																																																																																																																																																											
122	Mage Bane	1-h wpn	8	E	6			87																		5																																					10																																																																																																																																																																																																				
123	Hammer of the Forge Lord	2-h wpn	8	E	5	F	3	184										4																																																																																																																																																																																																																																																	
124	The Tartarian Chains	1-h wpn	8	E	4	F	2	188																																																																																																																																																			392																																																																																																								
125	The Sword of Many Colors	2-h wpn	8	E	4	S	3	195																																																																			1	1	1	1																																																																																																																																																																																					
126	Twin Spear	1-h wpn	8	S	1	B	1	295																																															1									50																																																																		Call Lesser Horror																																																																																																																																	
127	Twin Spear	1-h wpn	8	S	1	D	1	296																																															1									50																																																																																																																																																																																																			
128	The Oath Rod of Kurgi	2-h wpn	8	S	2	B	2	157																																																																												1	1	1	1	1	1	1	1																																							Horror Mark																																															5																																																																																		
129	The Sword of Aurgelmer	1-h wpn	8	S	6			179																			4																												1					1																																																																				Will of the Fates																																																																																																																																			
130	Rod of Death	1-h wpn	8	D	1			59																																																									20																																																																	Control the Dead																																																																																																																																	
131	The Flailing Hands	2-h wpn	8	D	2			158																		1										1																																												1																																																																																																																																																																																			
132	The Sickle whose Crop is Pain	1-h wpn	8	D	6			187																																																																																																																																																																																																																										1																																	
133	Sceptre of Dark Regency	1-h wpn	8	D	6			386																																																																								2									2																																																											3																																																																																																															
134	Sword of Injustice	1-h wpn	8	D	4			205																																																																											1																																													Protection of the Sepulchre																																																																																																																																			
135	Woundflame	1-h wpn	8	D	4			97																																																					1																																																																																																																																																																																																						
136	Sun Slayer	2-h wpn	8	D	6			72																																																												5												1																																																Darkness		Drain Life																																																																																																																																	
137	Picus's Axe of Rulership	1-h wpn	8	D	2	E	1	341																																																																																																																																																																																																																																																											
138	The Sharpest Tooth	1-h wpn	8	N	2	S	1	336					25																																																																																																																																																			2																																																																																																			
139	Sceptre of Corruption	1-h wpn	8	B	4			172																																																						1	10	50																																																																		Bane Fire																																																																																																																																	
140	Procas's Axe of Rulership	1-h wpn	8	B	2	E	1	340																																																																																																																																																																																																																																																											
141	Harvest Blade	2-h wpn	8	B	3	N	1	122																			2																																			1						5																																									1																																																																																																																																																						
142	Dimensional Rod	1-h wpn	8	S	3			443																																											1											1	20																1									1																																																																																														1																																																																													
143	Infernal Sword	2-h wpn	8	B	1	F	1	444			5																																																																																																																																																																																																																																																								
144	The Staff from the Sun	2-h wpn	8	S	5	F	1	540			5																																																																1									2								1																																																																																																																																																																							
145	Blacksteel Tower Shield	shield	0	E	1				41																																																																																																																																																			2										49																																																																																													
146	Blacksteel Kite Shield	shield	0	E	1				69																																																																																																																																																													49																																																																																													
147	Enchanted Shield	shield	0	S	1				92																																																																																																																																																																																																																																																										
148	Raw Hide Shield	shield	0	N	1				235																																																																																																																																																																																																																																																										
149	Weightless Tower Shield	shield	2	A	2				65																																																																																																																																																			2																																																																																																							
150	Weightless Kite Shield	shield	2	A	2				66																																																																																																																																																																																																																																																										
151	Lead Shield	shield	2	E	2				42																	4																																																																																																																																																																																																																																									
152	Shield of Valor	shield	2	E	1	A	1		57						80																																																																																																																																																																																																																																																				
153	Crystal Shield	shield	2	S	3	E	2		73																																																																																																																							Power of the Spheres																												2																																																																																																							
154	Eye Shield	shield	2	N	2				61																																																																																																																																																1																																																																																																										
155	Golden Hoplon	shield	4	F	2				71		15																																																																																																																																																											32																																																																																													
156	Charcoal Shield	shield	4	E	2	F	1		60		5																																																																																																			1																																																																																																																																																					
157	Lucky Coin	shield	4	S	2				67																																														1																																																																																																																																																																																																												
158	Shield of the Accursed	shield	4	S	2	B	1		62																					3																																																																																																																																																																																														5																																							
159	Vine Shield	shield	4	N	2				63																																																																																																																																																																																																																				1																																						
160	Totem Shield	shield	4	N	1	S	1		235																																																																																																																																																													53	11												5																																																																																
161	Shield of Gleaming Gold	shield	6	E	1	F	1		71																																																												1																																																																																																	32																																																																																													
162	Scutata Volturnus	shield	6	A	1	E	1		87	5																																																																																																																							Shocking Grasp																											2																																																																																																							
163	Lantern Shield	shield	6	D	2	F	1		88																																																									1		5																																																																																																																																					528																																																										
164	Immaculate Shield	shield	8	F	3	S	2		182																																													1															2														1																																																																																																																																																																																
165	Barrier	shield	8	E	4				68	15	15																	4																																																																																																																																2																																																																																																							
166	The Aegis	shield	8	E	5				64																																																											5																																																																																																																														1																																																																	
167	Shield of the Dawn	shield	8	E	3	S	2		178		5						1									1																																											1																																																																																																																																																																																														
168	Blacksteel Helmet	helm	0	E	1				40																																																																																																																																																													49																																																																																													
169	Enchanted Helmet	helm	0	S	1				223																																																																																																																																																																																																																																																										
170	Dragon Helmet	helm	2	F	1				227		5			50													5																																																																																																																																																																																																																																								
171	Crown of the Shah	crown	2	F	1	A	1		212																																																					1		100	25	25	1																1																																													Fanaticism														100																					1																																																																																									1							
172	Crown of Lead	crown	2	E	1				212																	1																																																																																																																																									1																																																																																																
173	Horror Helmet	helm	2	D	2				227																																																											5																																																																																																																																																																																															
174	Black Laurel	crown	2	D	2																																																																																																																																									44								2													1																																																																																																
175	Ivy Crown	crown	2	N	1																																		1																																																																																							1																																					1																																																																																																
176	Horned Helmet	helm	2	N	1			334	227																																																																																																																																																																																																																																																										
177	Flame Helmet	helm	4	F	4				80																										-3																																								1																																																																																																																																																																																								
178	Huaca Headdress	crown	4	F	2				212																																																							25	10	10	1																																																																											67																					1															2																																																																																	
179	Helmet of Heroes	helm	4	F	1	E	1		174																																																										2																																																																																																																																																																																																
180	Winged Helmet	helm	4	A	4				227																																																																			1																																																																																																																																																																																							
181	Crown of Command	crown	4	S	2				212																																																							50		25	1																																																																																																1																																																																																																
182	Spirit Mask	helm	4	D	2	N	1		187																	1																																																																																																							Frighten																																					53	11																																																																																												
183	Mistletoe Garland	crown	4	N	1								5																																										1																																																																																																												1																																																																																																
184	Headdress of the Bull	crown	4	N	1				234																			2																																																																																																																		29	66	63	25	26	98														3009		1																																																																																																
185	Spirit Helmet	helm	6	A	3				79																																																																																																																								Lightning Bolt																																																																																																																																		
186	Iron Face	helm	6	E	4				173																																																		1																																																																																																																																																																																																								
187	Crown of the Titans	crown	6	E	2	F	1		212																																																							50			1																																																																																																1																																																																																												1				
188	Starshine Skullcap	helm	6	S	2				83																	2																																																					1																																																																																																																																																																																				
189	Crown of the Magi	crown	6	S	4	W	2		212																																																									10																																																																																																	1																														30																																																																		
190	Skullface	helm	6	D	5				228																																																								10															1																																																		Horde of Skeletons																																																																																																																																	
191	Wraith Crown	crown	6	D	5				212					100																																						1													50																																																																																																		1																																							-2																																																									
192	Crown of Overmight	crown	8	F	5	E	3		55															30				5																																		1		100			1																																																														Charm																																		1																																																																																														1		
193	Amon Hotep	crown	8	F	5	S	4		212		15															5																																				1							5																																																													Mummification																																	1																																																								25																																								
194	Helmet of Perfection	helm	8	W	3	A	3		175																																																										3		5																																																																																				1																																																																																																										
195	Helmet of the Dawn	helm	8	E	2	S	1		180								1									2																																											1																																																																																																																																																																																														
196	The Jade Mask	helm	8	D	6	N	3		45				15	50												3																																										10												2																																																		Rigor Mortis											5	15	57	93												536870912																																																																																																							
197	Crown of the Ivy King	crown	8	N	2								15			5																							1																		1																																																																					2				Awaken Vine Men																																	1																																			5																																																													
198	The Crown of Despair	crown	8	D	2				212					100																																																1						5																					1																1																																																				2	4					1																																																																																																
199	Blacksteel Plate	armor	0	E	1				39																																																																																																																																																													49																																																																																													
200	Blacksteel Full Plate	armor	0	E	2				38																																																																																																																																																													49																																																																																													
201	Berserker Pelt	armor	0	N	1				192																																																																																																				1																																																																																																																																																						
202	Fire Plate	armor	2	F	1				75		5																2																																																																																																																																																																																																																																								
203	Robe of Missile Protection	armor	2	A	1				230						80																																																																																																																																																																																																																																																				
204	Lightweight Scale Mail	armor	2	A	1				49																																																																																																																																																													60	20																																																																																												
205	Mirror Armor	armor	2	A	1	W	1		177																	3																																																																																																																																																																																																																																									
206	Weightless Scale Mail	armor	2	A	2				50																																																																																																																																																													60	20																																																																																												
207	Copper Plate	armor	2	A	1				89	25																																																																																																																						Charge Body																																																																																																																																			
208	Shambler Skin Armor	armor	2	W	1				37																																						1		1																																																																																																																																																																																																																		
209	Enchanted Ring Mail Armor	armor	0	S	1				194																																																																																																																																																																																																																																																										
210	Dire Wolf Pelt	armor	2	N	1				176			5																	1	1																																																																																																																																																																																																																																					
211	Kithaironic Lion Pelt	armor	2	N	1	E	1		184																																																																																																																																																													11	53		-40	-60																																																																																									
212	Armor of Souls	armor	2	B	5				56																	5																																																								1																																																																																																																																																																																	
213	Ranger's Cloak	armor	2	N	1				232																													30																																																																																																																																																																																																																													
214	Armor of the Five Elements	armor	2	E	1	A	1		233	5	5	5														1																																																																																																																				10	52	87																									-60	-60																																																																																									
215	Red Dragon Scale Mail	armor	4	F	2				36		15																4																																																																																																																																																																																																																																								
216	Chain Mail of Displacement	armor	4	A	2				81																																																																																																																																																																																																																																																										
217	Silver Hauberk	armor	4	A	2	E	1		48						80																																																																																																																																																																																																																																																				
218	Brightmail Haubergeon	armor	4	A	1	E	1		185																																																																																																																																																																																																																																																										
219	Elemental Armor	armor	4	E	2	F	1		59	10	10	10																																																																																																																																																										32																																																																																													
220	Blue Dragon Scale Mail	armor	4	W	2				36			15															4																																																																																																																																																																																																																																								
221	Robe of the Sea	armor	4	W	3				230																																						1		1																												1																																																																																																																																																																																						
222	Shroud of the Battle Saint	armor	4	S	1				54																																													1								1																																																																																																								6																																																																																						1							
223	Robe of Shadows	armor	4	S	2				230																													20														1																																																																																																																																																																																																															
224	Shademail Haubergeon	armor	4	D	2	E	1		186																												20																																																																																																																																																																																																																														
225	Green Dragon Scale Mail	armor	4	N	2				36				15														4																																																																																																																																																																																																																																								
226	Armor of Twisting Thorns	armor	4	B	3	N	2		34				5																																																	1																			1	1																																																																																																																																																															10											1							
227	Armor of Knights	armor	6	E	1				201																																																																																																																																																																																																																																																										
228	Marble Armor	armor	6	E	2				109																																																	1																																																																																																																																																																																																									
229	Stymphalian Wings	armor	6	E	4				74																				-4														1										1															5																																																																																								2										5																																																																																													
230	Rainbow Armor	armor	6	A	1	N	1		90																	2									3																																																																																																																																																																																																																																
231	Robe of the Magi	armor	6	A	5	B	5		230																										5																												5												1	1	1	1	1	1	1	1																																																																																																																																																																																	
232	Robe of Invulnerability	armor	6	D	4				231																																																																																																																																																																																																																		25																																								
233	Rime Hauberk	armor	6	W	2				46			5																																																																																																																																																																																															1								1																																																
234	Jade Armor	armor	6	W	2	E	1		107																																										1																																																																																																																			52																																																																																													
235	Bone Armor	armor	6	D	4				51			5																																																																																																																																																																																																																																																						1	
236	Hydra Skin Armor	armor	6	N	2				43				15			10																																																																																																																																																						9	46																																																																																												
237	Aseftik's Armor	armor	8	E	4				35																	3	8																																			1																																																																																																																																																																																																					
238	Monolith Armor	armor	8	E	4				47							10											10																																																																																																																																	2																																																																																																							
239	Armor of the Dawn	armor	8	E	3	S	2		179		5						2									1																																											1																																																																																																																																																																																														
240	Robe of Calius the Druid	armor	8	N	3				231	10	10	10														3												20									1																																																																																																																																																																																																																				
241	Fenris' Pelt	armor	8	N	4				72			5																												1																																																																					1																			Howl																																																																																							50																																												
242	Armor of Virtue	armor	8	S	3				110																																													1															4																																																																																																							1																																																																																							
243	Flesh Ward	armor	8	B	4				82																			4							2																											1	10																			1																																																																										1073741824																																																		2																																														1							
