record_id	effect_number	duration	ritual	object_type	raw_argument	modifiers_mask	range_base	range_per_level	range_strength_divisor	area_base	area_per_level	area_battlefield_pct	end
44	11		0	Spell	16777216	27263104	0	0	0	1	0		
45	1		1	Spell	736	0	0	0	0	0	0		
46	37		1	Spell	-3	0	0	0	0	0	0		
47	11		0	Spell	64	10502272	0	0	0	0	0		
48	1		0	Spell	403	0	0	0	0	0	0		
49	1		0	Spell	303	0	0	0	0	0	0		
50	1		0	Spell	676	0	0	0	0	0	0		
51	1		0	Spell	1357	0	0	0	0	0	0		
52	1		0	Spell	628	0	0	0	0	0	0		
53	1		0	Spell	284	0	0	0	0	0	0		
54	23		1	Spell	8388608	8388608	0	0	0	0	0		
55	1		0	Spell	959	8388608	0	0	0	0	0		
56	21		0	Spell	960	8388608	0	0	0	0	0		
57	85		1	Spell	0	8388608	0	0	0	0	0		
58	21		0	Spell	3471	0	0	0	0	0	0		
59	1		0	Spell	1139	0	0	0	0	0	0		
60	1		1	Spell	1037	0	0	0	0	0	0		
61	1		1	Spell	1086	0	0	0	0	0	0		
62	81		0	Spell	45	8388608	0	0	0	0	0		
63	66		0	Spell	5	8933504	0	0	0	0	0		
64	11		0	Spell	1	4224	0	0	0	1	0		
65	1		0	Spell	284	0	0	0	0	0	0		
66	81		0	Spell	77	0	0	0	0	0	0		
67	1		1	Spell	1357	0	0	0	0	0	0		
68	1		1	Spell	1367	0	0	0	0	0	0		
69	1		1	Spell	464	0	0	0	0	0	0		
70	81		0	Spell	6	0	0	0	0	0	0		
71	105		0	Spell	999	4224	0	0	0	0	0	100	
72	1		1	Spell	1425	0	0	0	0	0	0		
73	1		1	Spell	304	0	0	0	0	0	0		
74	1		1	Spell	449	0	0	0	0	0	0		
75	1		1	Spell	632	0	0	0	0	0	0		
76	1		1	Spell	489	0	0	0	0	0	0		
77	1		1	Spell	1481	0	0	0	0	0	0		
78	1		1	Spell	1478	0	0	0	0	0	0		
79	81		0	Spell	7	0	0	0	0	0	0		
80	21		0	Spell	-18	0	0	0	0	0	0		
81	2		0	Spell	3	640	0	0	0	10	0		
82	2		0	Spell	20	524424	15	0	0	1	0		
83	2		0	Spell	2	4224	0	0	0	10	0		
84	28		0	Spell	999	4240	0	0	0	0	0		
85	101		1	Spell	10	0	0	0	0	0	0		
86	101		1	Spell	3	0	0	0	0	0	0		
87	1		1	Spell	435	0	0	0	0	0	0		
88	1		0	Spell	448	8388608	0	0	0	0	0		
89	1		1	Spell	2051	0	0	0	0	0	0		
90	1		1	Spell	2045	0	0	0	0	0	0		
91	112		1	Spell	9999	36028797018964096	0	0	0	0	0		
92	1		1	Spell	2090	0	0	0	0	0	0		
93	81		0	Spell	1	0	0	0	0	0	0		
94	113		1	Spell	0	8392704	0	0	0	0	0		
95	1		0	Spell	-9	8388608	0	0	0	0	0		
96	1		0	Spell	2136	0	0	0	0	0	0		
97	1		0	Spell	1224	0	0	0	0	0	0		
98	1		0	Spell	-5	0	0	0	0	0	0		
99	1		1	Spell	2219	0	0	0	0	0	0		
100	11		0	Spell	16384	70368744177792	0	0	0	1	0		
101	11		0	Spell	1	4224	0	0	0	1	0		
102	11		0	Spell	1	140737492553856	0	0	0	0	0	100	
103	11		0	Spell	16777216	17592196530304	0	0	0	1	0		
104	11		0	Spell	1	4224	0	0	0	1	0		
105	11		0	Spell	1	4224	0	0	0	1	0		
106	48		1	Spell	55	8388608	0	0	0	0	0		
107	11		0	Spell	1	4224	0	0	0	1	0		
108	11		0	Spell	262144	10489984	0	0	0	0	0	50	
109	11		0	Spell	16777216	27263104	0	0	0	0	0	50	
110	1		1	Spell	2528	0	0	0	0	0	0		
111	1		0	Spell	517	0	1	0	0	0	0		
112	11		0	Spell	512	16416	0	0	0	0	0		
113	11		0	Spell	1	4224	0	0	0	1	0		
114	11		0	Spell	1	4224	0	0	0	1	0		
115	11		0	Spell	1	4224	0	0	0	1	0		
116	11		0	Spell	1	4224	0	0	0	1	0		
117	11		0	Spell	1	4224	0	0	0	1	0		
118	11		0	Spell	1	4224	0	0	0	1	0		
119	11		0	Spell	1	4224	0	0	0	1	0		
120	11		0	Spell	1	4224	0	0	0	1	0		
121	11		0	Spell	1	4224	0	0	0	1	0		
122	11		0	Spell	1	4224	0	0	0	1	0		
123	11		0	Spell	1	4224	0	0	0	1	0		
124	11		0	Spell	1	4224	0	0	0	1	0		
125	11		0	Spell	1	4224	0	0	0	1	0		
126	11		0	Spell	1	4224	0	0	0	1	0		
127	11		0	Spell	1	4224	0	0	0	1	0		
128	11		0	Spell	1	4224	0	0	0	1	0		
129	11		0	Spell	1	4224	0	0	0	1	0		
130	11		0	Spell	1	4224	0	0	0	1	0		
131	11		0	Spell	1	4224	0	0	0	1	0		
132	11		0	Spell	1	4224	0	0	0	1	0		
133	11		0	Spell	1	4224	0	0	0	1	0		
134	11		0	Spell	1	4224	0	0	0	1	0		
135	11		0	Spell	1	4224	0	0	0	1	0		
136	11		0	Spell	1	4224	0	0	0	1	0		
137	11		0	Spell	1	4224	0	0	0	1	0		
138	11		0	Spell	1	4224	0	0	0	1	0		
139	11		0	Spell	1	4224	0	0	0	1	0		
140	11		0	Spell	1	4224	0	0	0	1	0		
141	11		0	Spell	1	4224	0	0	0	1	0		
142	11		0	Spell	1	4224	0	0	0	1	0		
143	11		0	Spell	1	4224	0	0	0	1	0		
144	11		0	Spell	1	4224	0	0	0	1	0		
145	11		0	Spell	1	4224	0	0	0	1	0		
146	11		0	Spell	1	4224	0	0	0	1	0		
147	11		0	Spell	1	4224	0	0	0	1	0		
148	11		0	Spell	1	4224	0	0	0	1	0		
149	11		0	Spell	1	4224	0	0	0	1	0		
150	10		0	Spell	1	12632064	5	10	0	0	5		
151	2		0	Spell	3001	276828296	20	5	0	2	2		
152	2		0	Spell	3001	1152921504883675272	20	5	0	2	2		
153	11		0	Spell	512	16544	0	0	0	0	0		
154	2		0	Spell	1001	1152921504883675272	20	5	0	3	3		
155	2		0	Spell	3001	16448	0	0	0	0	0		
156	2		0	Spell	3001	1152921504883675272	20	5	0	2	2		
157	11		0	Spell	16384	70368754683904	0	0	0	0	0		
158	2		0	Spell	1001	1152921504883675272	25	5	0	4	4		
159	2		0	Spell	3003	8540288	0	0	0	0	0		
160	2		0	Spell	999	293601416	20	5	0	1	1		
161	2		0	Spell	3001	1152921504883675272	20	5	0	2	2		
162	11		0	Spell	17179869184	8540160	0	0	0	0	0		
163	2		0	Spell	1001	1152921504883675272	25	5	0	4	4		
164	128		0	Spell	100	8540160	0	0	0	0	0		
165	10		0	Spell	32768	12582912	15	5	0	0	5		
166	2		0	Spell	5005	8933512	20	5	0	0	0		
167	128		0	Spell	100	8425472	25	0	0	0	0		
168	10		0	Spell	4194304	8404992	0	0	0	0	0		
169	10		0	Spell	1	12615680	0	0	0	0	0	100	
170	2		0	Spell	10	8409216	30	0	0	0	0		
171	2		0	Spell	10	1152921504615256192	30	0	0	0	0		
172	2		0	Spell	10	8405152	0	0	0	0	0		
173	2		0	Spell	10	1152921504615256192	25	0	0	0	0		
174	2		0	Spell	10	537477248	0	0	0	0	0		
175	2		0	Spell	10	1152921504615256192	25	0	0	0	0		
176	99		0	Spell	999	8409216	0	0	0	0	0		
177	2		0	Spell	10	1152921504615256192	50	0	0	0	0		
178	2		0	Spell	5	8407168	0	0	0	0	0		
179	2		0	Spell	10	1152921504615256192	100	0	0	0	0		
180	66		0	Spell	10	8540288	0	0	0	0	0		
181	2		0	Spell	10	1152921504615256192	25	0	0	0	0		
182	2		0	Spell	999	576460752849227904	0	0	0	0	0		
183	3		0	Spell	20	545804416	0	0	0	0	0		
184	2		0	Spell	5	1152921504615256192	30	0	0	0	0		
185	11		0	Spell	64	576460752311828608	0	0	0	0	0		
186	11		0	Spell	8192	545800320	0	0	0	0	0		
187	2		0	Spell	20	1152921505152651392	30	0	0	0	0		
188	11		0	Spell	8388608	545800320	0	0	0	0	0		
189	10		0	Spell	32768	12582912	0	0	0	0	0	100	
190	81		0	Spell	91	8404992	0	0	0	0	0		
191	2		0	Spell	6	96	25	5	0	0	0		
192	10		0	Spell	8	16384	0	0	0	0	0		
193	2		0	Spell	1008	640	1	0	0	0	0		
194	2		0	Spell	10	1649269538816	25	5	0	0	0		
195	23		0	Spell	1	8404992	0	0	0	0	0		
196	2		0	Spell	1005	8405120	1	0	0	0	0		
197	11		0	Spell	1024	545919104	1	0	0	1	0		
198	11		0	Spell	8192	537415808	25	5	0	0	0		
199	42		1	Spell	11	0	0	0	0	0	0		
200	21		1	Spell	1881	0	0	0	0	0	0		
201	93		1	Spell	1822	0	0	0	0	0	0		
202	10		0	Spell	16777216	12599296	15	0	0	3	2		
203	21		1	Spell	3066	0	0	0	0	0	0		
204	21		1	Spell	3087	0	0	0	0	0	0		
205	23		0	Spell	549755813888	12599296	18	2	0	5	0		
206	1		1	Spell	1807	0	0	0	0	0	0		
207	21		1	Spell	1809	0	0	0	0	0	0		
208	21		1	Spell	1908	0	0	0	0	0	0		
209	101		1	Spell	-5	545783808	0	0	0	0	0		
210	111		1	Spell	15	545783808	0	0	0	0	0		
211	130		1	Spell	3070	545783808	0	0	0	0	0		
212	130		1	Spell	1432	545783808	0	0	0	0	0		
213	81		1	Spell	106	8388608	0	0	0	0	0	100	
214	10		0	Spell	16	4718600	0	0	0	0	0	100	
215	23		0	Spell	128	8404992	0	0	0	0	0		
216	10		0	Spell	32776	12599296	15	0	0	0	2		
217	29		0	Spell	999	25165824	5	0	0	0	0		
218	2		0	Spell	999	25706632	20	0	0	0	0		
219	8		0	Spell	15	8404992	0	0	0	0	0		
220	1		1	Spell	2100	0	0	0	0	0	0		
221	21		1	Spell	2089	0	0	0	0	0	0		
222	21		1	Spell	2093	0	0	0	0	0	0		
223	21		1	Spell	2095	0	0	0	0	0	0		
224	21		1	Spell	2106	41943040	0	0	0	0	0		
225	21		1	Spell	2099	0	0	0	0	0	0		
226	21		1	Spell	2096	0	0	0	0	0	0		
227	1		1	Spell	2091	0	0	0	0	0	0		
228	21		1	Spell	2097	0	0	0	0	0	0		
229	1		1	Spell	1971	0	0	0	0	0	0		
230	1		1	Spell	1977	8388608	0	0	0	0	0		
231	1		1	Spell	1656	0	0	0	0	0	0		
232	1		1	Spell	1649	0	0	0	0	0	0		
233	10		0	Spell	16384	21102592	0	0	0	0	0	100	
234	127		1	Spell	1	0	0	0	0	0	0		
235	1		1	Spell	3003	0	0	0	0	0	0		
236	1		1	Spell	1947	0	0	0	0	0	0		
237	1		1	Spell	1946	0	0	0	0	0	0		
238	119		1	Spell	1956	0	0	0	0	0	0		
239	21		1	Spell	1945	0	0	0	0	0	0		
240	119		1	Spell	1953	8388608	0	0	0	0	0		
241	21		1	Spell	1954	0	0	0	0	0	0		
242	21		1	Spell	1952	0	0	0	0	0	0		
243	21		1	Spell	1943	0	0	0	0	0	0		
244	1		1	Spell	1940	0	0	0	0	0	0		
245	38		1	Spell	1948	8388608	0	0	0	0	0		
246	21		1	Spell	1944	0	0	0	0	0	0		
247	21		1	Spell	1955	8388608	0	0	0	0	0		
248	21		1	Spell	1942	0	0	0	0	0	0		
249	21		1	Spell	1941	0	0	0	0	0	0		
250	21		1	Spell	1949	0	0	0	0	0	0		
251	63		1	Spell	10	8388608	0	0	0	0	0		
252	63		1	Spell	10	8388608	0	0	0	0	0		
253	1		1	Spell	2186	0	0	0	0	0	0		
254	1		1	Spell	2398	0	0	0	0	0	0		
255	21		1	Spell	2267	0	0	0	0	0	0		
256	24		0	Spell	1006	64	30	5	0	3	0		
257	1		1	Spell	1998	8388608	0	0	0	0	0		
258	21		1	Spell	2045	0	0	0	0	0	0		
259	21		1	Spell	2039	0	0	0	0	0	0		
260	1		1	Spell	2074	0	0	0	0	0	0		
261	1		1	Spell	2074	0	0	0	0	0	0		
262	1		1	Spell	2073	0	0	0	0	0	0		
263	21		1	Spell	2056	0	0	0	0	0	0		
264	21		1	Spell	2057	0	0	0	0	0	0		
265	21		1	Spell	2058	0	0	0	0	0	0		
266	21		1	Spell	2051	0	0	0	0	0	0		
267	21		1	Spell	2052	0	0	0	0	0	0		
268	89		1	Spell	14	0	0	0	0	0	0		
269	1		1	Spell	2072	0	0	0	0	0	0		
270	21		1	Spell	2071	0	0	0	0	0	0		
271	1		1	Spell	3068	0	0	0	0	0	0		
272	21		1	Spell	3095	0	0	0	0	0	0		
273	1		1	Spell	3064	0	0	0	0	0	0		
274	21		1	Spell	2966	0	0	0	0	0	0		
275	21		1	Spell	2845	8388608	0	0	0	0	0		
276	21		1	Spell	2846	8388608	0	0	0	0	0		
277	21		1	Spell	2874	8388608	0	0	0	0	0		
278	21		1	Spell	2834	8388608	0	0	0	0	0		
279	21		1	Spell	2836	8388608	0	0	0	0	0		
280	1		1	Spell	1664	41943040	0	0	0	0	0		
281	50		1	Spell	1624	0	0	0	0	0	0		
282	28		0	Spell	999	293863560	10	0	0	0	0		
283	10		0	Spell	67108864	281034760	20	0	0	1	0		
284	10		0	Spell	1	281067528	20	0	0	1	0		
285	23		0	Spell	33554432	281034760	20	0	0	1	0		
286	10		0	Spell	67108864	281034760	10	0	0	10	0		
287	10		0	Spell	1	281067528	10	0	0	10	0		
288	29		0	Spell	999	25198592	50	0	0	0	0		
289	23		0	Spell	33554432	281034760	10	0	0	5	0		
290	10		0	Spell	1	281051144	0	0	0	0	0	100	
291	10		0	Spell	67108864	297795592	0	0	0	0	0	100	
292	23		0	Spell	33554432	281018376	0	0	0	0	0	100	
293	1		1	Spell	259	0	0	0	0	0	0		
294	21		1	Spell	260	0	0	0	0	0	0		
295	21		1	Spell	256	0	0	0	0	0	0		
296	21		1	Spell	257	0	0	0	0	0	0		
297	21		1	Spell	258	0	0	0	0	0	0		
298	21		1	Spell	254	8388608	0	0	0	0	0		
299	21		1	Spell	253	8388608	0	0	0	0	0		
300	1		1	Spell	255	8388608	0	0	0	0	0		
301	1		1	Spell	259	0	0	0	0	0	0		
302	1		1	Spell	255	8388608	0	0	0	0	0		
303	1		1	Spell	255	8388608	0	0	0	0	0		
304	1		1	Spell	259	0	0	0	0	0	0		
305	1		1	Spell	187	0	0	0	0	0	0		
306	21		1	Spell	681	0	0	0	0	0	0		
307	21		1	Spell	678	0	0	0	0	0	0		
308	21		1	Spell	680	0	0	0	0	0	0		
309	21		1	Spell	679	0	0	0	0	0	0		
310	21		1	Spell	2333	0	0	0	0	0	0		
311	21		1	Spell	2334	0	0	0	0	0	0		
312	21		1	Spell	2335	0	0	0	0	0	0		
313	28		0	Spell	999	293863560	10	0	0	0	0		
314	10		0	Spell	67108864	281034760	20	0	0	1	0		
315	10		0	Spell	1	281067528	20	0	0	1	0		
316	23		0	Spell	33554432	281034760	20	0	0	1	0		
317	11		0	Spell	2	8421376	50	0	0	1	0		
318	10		0	Spell	67108864	281034760	10	0	0	10	0		
319	10		0	Spell	1	281067528	10	0	0	10	0		
320	29		0	Spell	999	25198592	50	0	0	0	0		
321	23		0	Spell	33554432	281034760	10	0	0	5	0		
322	10		0	Spell	1	281051144	0	0	0	0	0	100	
323	10		0	Spell	67108864	297795592	0	0	0	0	0	100	
324	23		0	Spell	33554432	281018376	0	0	0	0	0	100	
325	21		1	Spell	690	0	0	0	0	0	0		
326	21		1	Spell	691	0	0	0	0	0	0		
327	21		1	Spell	692	0	0	0	0	0	0		
328	10		0	Spell	67108864	281034760	20	0	0	1	0		
329	23		0	Spell	33554432	281034760	20	0	0	1	0		
330	10		0	Spell	67108864	281034760	10	0	0	10	0		
331	23		0	Spell	33554432	281034760	10	0	0	5	0		
332	10		0	Spell	67108864	297795592	0	0	0	0	0	100	
333	23		0	Spell	33554432	281018376	0	0	0	0	0	100	
334	86		1	Spell	36	8388608	0	0	0	0	0		
335	4		0	Spell	5	393344	0	0	0	25	0		
336	11		0	Spell	64	262144	0	0	0	25	0		
337	3		0	Spell	1030	397440	0	0	0	25	0		
338	21		1	Spell	714	0	0	0	0	0	0		
339	21		1	Spell	711	0	0	0	0	0	0		
340	21		1	Spell	710	0	0	0	0	0	0		
341	23		0	Spell	4	281018504	25	5	0	0	1		
342	23		0	Spell	536870912	281034888	20	5	0	0	1		
343	13		0	Spell	10020	276840584	15	5	0	0	0		
344	23		0	Spell	4	281022600	0	0	0	0	0	100	
345	23		0	Spell	536870912	297795720	0	0	0	0	0	100	
346	42		1	Spell	17	0	0	0	0	0	0		
347	1		1	Spell	1769	0	0	0	0	0	0		
348	1		1	Spell	1770	0	0	0	0	0	0		
349	1		1	Spell	1770	0	0	0	0	0	0		
350	1		1	Spell	1768	0	0	0	0	0	0		
351	21		1	Spell	1776	0	0	0	0	0	0		
352	1		1	Spell	1821	0	1	0	0	0	0		
353	81		0	Spell	86	0	0	0	0	0	0		
354	73		0	Spell	13	274945015872	40	0	0	0	0		
355	73		0	Spell	10	274945015872	30	0	0	0	0		
356	21		1	Spell	1975	0	0	0	0	0	0		
357	10		0	Spell	67108864	29491200	0	0	0	0	0	100	
358	23		0	Spell	1099511627776	281474989309952	25	5	0	1	0		
359	89		1	Spell	19	0	0	0	0	0	0		
360	1		1	Spell	1358	0	0	0	0	0	0		
361	11		0	Spell	1	4224	0	0	0	1	0		
362	21		1	Spell	525	0	0	0	0	0	0		
363	66		0	Spell	5010	8540288	30	0	0	0	0		
364	21		1	Spell	2637	0	0	0	0	0	0		
365	21		1	Spell	-16	0	0	0	0	0	0		
366	21		1	Spell	2563	0	0	0	0	0	0		
367	89		1	Spell	12	0	0	0	0	0	0		
368	1		1	Spell	1607	0	0	0	0	0	0		
369	1		1	Spell	2630	0	0	0	0	0	0		
370	21		1	Spell	2631	0	0	0	0	0	0		
371	21		1	Spell	-17	0	0	0	0	0	0		
372	42		1	Spell	15	0	0	0	0	0	0		
373	89		1	Spell	16	0	0	0	0	0	0		
374	82		1	Spell	100	0	0	0	0	0	0		
375	85		1	Spell	36	0	0	0	0	0	0		
376	1		1	Spell	2694	0	0	0	0	0	0		
377	1		1	Spell	2697	0	0	0	0	0	0		
378	1		1	Spell	2700	0	0	0	0	0	0		
379	21		1	Spell	464	0	0	0	0	0	0		
380	37		1	Spell	543	0	0	0	0	0	0		
381	21		1	Spell	1369	0	0	0	0	0	0		
382	21		1	Spell	1368	0	0	0	0	0	0		
383	1		1	Spell	1000	0	0	0	0	0	0		
384	21		1	Spell	626	0	0	0	0	0	0		
385	1		0	Spell	261	0	1	0	0	0	0		
386	1		1	Spell	2190	0	0	0	0	0	0		
387	1		1	Spell	2363	0	0	0	0	0	0		
388	1		1	Spell	1309	0	0	0	0	0	0		
389	81		1	Spell	44	0	0	0	0	0	0		
390	1		1	Spell	1359	0	0	0	0	0	0		
391	1		1	Spell	859	0	0	0	0	0	0		
392	1		1	Spell	1889	8388608	0	0	0	0	0		
393	1		1	Spell	1358	0	0	0	0	0	0		
394	21		1	Spell	525	0	0	0	0	0	0		
395	89		1	Spell	13	0	0	0	0	0	0		
396	1		1	Spell	1357	0	0	0	0	0	0		
397	1		1	Spell	1356	0	0	0	0	0	0		
398	21		1	Spell	1422	0	0	0	0	0	0		
399	1		1	Spell	1483	0	0	0	0	0	0		
400	21		1	Spell	1558	0	0	0	0	0	0		
401	21		1	Spell	1360	0	0	0	0	0	0		
402	1		1	Spell	1356	0	0	0	0	0	0		
403	81		1	Spell	101	0	0	0	0	0	0		
404	1		1	Spell	2690	0	0	0	0	0	0		
405	11		0	Spell	8192	537411712	30	0	0	0	0		
406	11		0	Spell	262144	2113664	30	0	0	0	0		
407	3		0	Spell	5015	537477248	30	0	0	0	0		
408	11		0	Spell	2	2113664	30	0	0	0	0		
409	10		0	Spell	32	545800192	20	0	0	0	0		
410	10		0	Spell	137438953472	10502144	20	0	0	0	0		
411	23		0	Spell	68719476736	545865728	20	0	0	0	0		
412	10		0	Spell	2	10485760	20	0	0	0	0		
413	89		1	Spell	17	0	0	0	0	0	0		
414	89		1	Spell	18	0	0	0	0	0	0		
415	1		1	Spell	903	0	0	0	0	0	0		
416	1		1	Spell	904	0	0	0	0	0	0		
417	1		1	Spell	1338	0	0	0	0	0	0		
418	1		1	Spell	926	0	0	0	0	0	0		
419	1		1	Spell	902	0	0	0	0	0	0		
420	1		0	Spell	1363	8388608	1	0	0	0	0		
421	1		0	Spell	1363	8388608	1	0	0	0	0		
422	1		1	Spell	1319	0	0	0	0	0	0		
423	1		1	Spell	1332	0	0	0	0	0	0		
424	21		1	Spell	1329	0	0	0	0	0	0		
425	21		1	Spell	1330	0	0	0	0	0	0		
426	21		1	Spell	1322	0	0	0	0	0	0		
427	1		1	Spell	1335	0	0	0	0	0	0		
428	21		1	Spell	1320	0	0	0	0	0	0		
429	21		1	Spell	1331	0	0	0	0	0	0		
430	21		1	Spell	1321	0	0	0	0	0	0		
431	21		1	Spell	1337	0	0	0	0	0	0		
432	21		1	Spell	1336	0	0	0	0	0	0		
433	21		1	Spell	1713	0	0	0	0	0	0		
434	21		1	Spell	1906	0	0	0	0	0	0		
435	10		0	Spell	262144	4227088	1	0	0	0	0	100	
436	1		1	Spell	1736	0	0	0	0	0	0		
437	1		1	Spell	1742	0	0	0	0	0	0		
438	1		1	Spell	1741	0	0	0	0	0	0		
439	1		1	Spell	1737	0	0	0	0	0	0		
440	1		1	Spell	1743	0	0	0	0	0	0		
441	21		1	Spell	1714	0	0	0	0	0	0		
442	21		1	Spell	1744	0	0	0	0	0	0		
443	21		1	Spell	1748	0	0	0	0	0	0		
444	1		1	Spell	1767	0	0	0	0	0	0		
445	1		1	Spell	1764	0	0	0	0	0	0		
446	1		1	Spell	1765	8388608	0	0	0	0	0		
447	1		1	Spell	1260	0	0	0	0	0	0		
448	1		1	Spell	1482	0	0	0	0	0	0		
449	1		1	Spell	1264	0	0	0	0	0	0		
450	1		1	Spell	1478	0	0	0	0	0	0		
451	1		1	Spell	1266	0	0	0	0	0	0		
452	1		1	Spell	1479	0	0	0	0	0	0		
453	21		1	Spell	1256	8388608	0	0	0	0	0		
454	1		1	Spell	1272	0	0	0	0	0	0		
455	21		1	Spell	1480	0	0	0	0	0	0		
456	21		1	Spell	1431	0	0	0	0	0	0		
457	1		1	Spell	1274	0	0	0	0	0	0		
458	21		1	Spell	1276	0	0	0	0	0	0		
459	21		1	Spell	1434	0	0	0	0	0	0		
460	21		1	Spell	1316	0	0	0	0	0	0		
461	1		1	Spell	2497	8388608	0	0	0	0	0		
462	1		1	Spell	2497	8388608	0	0	0	0	0		
463	1		1	Spell	1490	8388608	0	0	0	0	0		
464	21		1	Spell	2527	8388608	0	0	0	0	0		
465	1		1	Spell	1496	8388608	0	0	0	0	0		
466	1		1	Spell	1501	0	0	0	0	0	0		
467	1		1	Spell	1490	8388608	0	0	0	0	0		
468	120		1	Spell	1	8388608	0	0	0	0	0		
469	1		1	Spell	640	8388608	0	0	0	0	0		
470	1		1	Spell	495	8388608	0	0	0	0	0		
471	48		1	Spell	5760	8388608	0	0	0	0	0		
472	1		1	Spell	1497	8388608	0	0	0	0	0		
473	1		1	Spell	1496	8388608	0	0	0	0	0		
474	1		1	Spell	1498	8388608	0	0	0	0	0		
475	21		1	Spell	1499	8388608	0	0	0	0	0		
476	1		0	Spell	2515	8388608	1	0	0	0	0		
477	1		1	Spell	2515	8388608	1	0	0	0	0		
478	1		1	Spell	2520	0	0	0	0	0	0		
479	1		1	Spell	1439	0	0	0	0	0	0		
480	21		1	Spell	1440	0	0	0	0	0	0		
481	1		1	Spell	1441	0	0	0	0	0	0		
482	1		1	Spell	1439	0	0	0	0	0	0		
483	1		1	Spell	2509	0	0	0	0	0	0		
484	1		1	Spell	1500	0	0	0	0	0	0		
485	21		1	Spell	1476	0	0	0	0	0	0		
486	1		1	Spell	2509	0	0	0	0	0	0		
487	23		0	Spell	33554432	281034760	30	0	0	25	0		
488	21		1	Spell	1562	8388608	0	0	0	0	0		
489	125		1	Spell	100	8388608	0	0	0	1	0		
490	1		1	Spell	1529	8388608	0	0	0	0	0		
491	110		1	Spell	2052	8392704	0	0	0	0	0		
492	0		0	Spell	0	0	0	0	0	0	0		
493	0		0	Spell	0	0	0	0	0	0	0		
494	2		0	Spell	1012	96	1	0	0	1	0		
495	2		0	Spell	10	96	25	5	0	0	0		
496	2		0	Spell	2018	96	35	5	0	0	0		
497	2		0	Spell	3015	8390784	1	0	0	0	0		
498	11		0	Spell	134217728	20480	25	5	0	1	0		
499	2		0	Spell	1017	512	40	5	0	0	0		
500	2		0	Spell	1005	8388704	15	5	0	1	0		
501	2		0	Spell	10	2199023255616	2	0	0	3	0		
502	85		1	Spell	37	8388608	0	0	0	0	0		
503	2		0	Spell	1004	128	35	0	0	0	0		
504	2		0	Spell	1008	8388752	30	5	0	0	0		
505	2		0	Spell	1013	274877906944	25	5	0	0	0		
506	2		0	Spell	2010	96	5	1	0	1	0		
507	2		0	Spell	2013	96	30	5	0	1	0		
508	7	4	0	Spell	1	8352	30	0	0	2	1		
509	2		0	Spell	2015	512	5	1	0	1	0		
510	81		0	Spell	7	0	0	0	0	0	0		
511	2		0	Spell	1012	8407168	30	5	0	0	0		
512	2		0	Spell	1007	8390784	2	0	0	6	0		
513	11	4	0	Spell	2199023255552	16384	30	0	0	4	1		
514	2		0	Spell	1010	268435528	30	5	0	1	0		
515	11		0	Spell	536870912	4398057013248	23	2	0	2	0		
