id	name	effect_record_id	att	def	len	nratt	ammo	secondaryeffect	secondaryeffectalways	rcost	weapon	end
50	Weak Poison	50	0	0	0	1	0	0	0	0	50	
51	Strong Poison	51	0	0	0	1	0	0	0	0	51	
52	Death Poison	52	0	0	0	1	0	0	0	0	52	
53	Debilitative Poison	53	0	0	0	1	0	0	0	0	53	
54	Paralyzing Poison	54	0	0	0	1	0	0	0	0	54	
55	Hoof	55	0	0	0	1	0	0	0	0	55	
56	Hoof	56	0	0	0	1	0	0	0	0	56	
57	Sickle	57	0	0	1	1	0	0	0	2	57	
58	Wail	58	10	0	5	1	0	0	60	0	58	
59	Rod of Death	59	2	0	1	1	0	0	0	0	59	
60	Fear	60	0	0	0	1	0	0	0	0	60	
61	Fire Breath	61	0	0	0	1	5	0	0	0	61	
62	Bile	62	0	0	0	1	5	0	0	0	62	
63	Life Drain	63	0	0	0	1	0	0	0	0	63	
64	Decay	64	0	0	0	1	0	0	0	0	64	
65	Venomous Fangs	65	0	-1	0	1	0	52	0	0	65	
66	Jotun Axe	66	0	-1	1	1	0	0	0	1	66	
67	Phantasmal Weapon	67	0	0	0	1	0	0	0	0	67	
68	Barbed Tail	68	-1	0	0	1	0	54	0	0	68	
69	Icicle Fist	69	0	0	0	1	0	222	0	0	69	
70	Astral Claw	70	0	0	-1	1	0	367	0	0	70	
71	Sleep Vines	71	-1	0	3	3	0	0	0	0	71	
72	Sun Slayer	72	5	6	2	1	0	0	73	0	72	
73	Area Death	73	0	0	0	1	0	0	0	0	73	
74	Sword of Sharpness	74	2	2	1	1	0	0	0	0	74	
75	Enchanted Sword	75	1	2	1	1	0	0	0	0	75	
76	Fire Sword	76	1	1	1	1	0	0	0	0	76	
77	Ice Sword	77	1	3	1	1	0	0	0	0	77	
78	Stinger	78	2	1	3	1	0	0	0	0	78	
79	Thorn Spear	79	2	2	3	1	0	51	0	0	79	
80	Fire Brand	80	3	0	1	1	0	0	171	0	80	
81	Thorn Staff	81	3	5	3	1	0	51	0	0	81	
82	Frost Brand	82	1	2	1	1	0	0	409	0	82	
83	Wave Breaker	83	3	3	3	3	0	0	0	0	83	
84	Unquenched Sword	84	4	1	1	1	0	0	171	0	84	
85	Tentacle	85	0	0	0	1	0	0	0	0	85	
86	Mind Blast	86	100	0	0	1	10	293	0	0	86	
87	Mage Bane	87	5	6	1	1	0	88	0	0	87	
88	Unconsciousness	88	0	0	0	1	0	247	0	0	88	
89	Snake Staff	89	3	5	4	1	0	51	0	0	89	
90	Crush	90	0	0	0	1	0	0	0	0	90	
91	Fatigue	91	0	0	0	1	0	0	0	0	91	
92	Fist	92	-1	-1	-1	1	0	0	0	0	92	
93	Cold Breath	93	0	0	0	1	5	0	0	0	93	
94	Spear	94	0	0	3	1	0	0	0	1	94	
95	Flambeau	95	4	2	2	1	0	0	221	0	95	
96	Spear	96	0	0	3	1	0	0	0	1	96	
97	Woundflame	97	4	5	1	1	0	98	0	0	97	
98	Plague	98	0	0	0	1	0	0	0	0	98	
99	Main Gauche of Parrying	99	2	6	0	1	0	0	0	0	99	
100	Standard	100	-2	-3	4	1	0	0	0	3	100	
101	Athame	101	2	0	0	1	0	0	0	0	101	
102	Faithful	102	2	4	1	1	0	0	0	0	102	
103	Stone Sword	103	4	7	2	1	0	0	104	0	103	
104	Area Petrification	104	0	0	0	1	0	0	0	0	104	
105	Staff of Storms	105	2	4	3	1	0	0	232	0	105	
106	Sword of Swiftness	106	2	4	1	2	0	0	0	0	106	
107	Halberd of Might	107	2	3	3	1	0	0	0	0	107	
108	Greatsword of Sharpness	108	4	4	2	1	0	0	0	0	108	
109	Herald Lance	109	1	1	3	1	0	0	0	0	109	
110	Wraith Sword	110	2	3	2	1	0	0	0	0	110	
111	Heart Finder Sword	111	4	2	1	1	0	112	0	0	111	
112	Heart Finding	112	0	0	0	1	0	0	0	0	112	
113	Tempest	113	5	6	2	1	0	0	114	0	113	
114	Chain Lightning	114	0	0	0	1	0	0	0	0	114	
115	Dwarven Hammer	115	0	-1	1	1	0	0	0	0	115	
116	Strangulation	116	0	-1	0	1	0	91	0	0	116	
117	Knife of the Damned	117	4	1	0	1	0	694	0	0	117	
118	Curse	118	0	0	0	1	0	0	0	0	118	
119	Hammer of the Cyclops	119	0	-1	2	1	0	0	0	0	119	
120	Enchanted Spear	120	2	2	3	1	0	0	0	0	120	
121	Dancing Trident	121	0	1	5	1	0	0	0	0	121	
122	Harvest Blade	122	10	-5	0	1	0	0	125	0	122	
123	Javelin of Flight	123	0	0	0	1	30	0	0	0	123	
124	Ice Rod	124	2	4	3	1	0	0	0	0	124	
125	Leg Chop	125	0	0	0	1	0	0	0	0	125	
126	Poison Dagger	126	1	0	0	1	0	51	0	0	126	
127	Venomous Bite	127	0	-1	0	1	0	50	0	0	127	
128	Gloves of the Gladiator	128	2	1	0	4	0	0	0	0	128	
129	Duskdagger	129	3	1	0	1	0	690	0	10	129	
130	Hammer of the Mountains	130	-1	-3	3	1	0	0	699	0	130	
131	Frost Blast	131	0	0	0	1	6	0	0	0	131	
132	Shortsword	132	3	4	1	1	0	0	0	0	132	
133	Midget Masher	133	3	1	2	1	0	0	0	0	133	
134	Chain Shock	134	0	0	0	1	0	0	0	0	134	
135	Champion's Trident	135	3	6	3	2	0	0	0	0	135	
136	Vine Whip	136	3	0	4	1	0	0	137	0	136	
137	Entanglement	137	0	0	0	1	0	0	0	0	137	
138	Rat Tail	138	2	0	4	1	0	0	139	0	138	
139	Greater Fear	139	0	0	0	1	0	0	0	0	139	
140	Whip of Command	140	3	0	4	1	0	0	0	0	140	
141	Poison Spit	141	0	0	0	1	5	0	0	0	141	
142	Touch of Leprosy	142	0	0	0	1	0	143	0	0	142	
143	Disease	143	0	0	0	1	0	0	0	0	143	
144	Stinger	144	5	0	2	1	0	52	0	0	144	
145	Heavenly Horn	145	0	0	0	1	15	0	0	0	145	
146	Venomous Claw	146	0	0	-1	1	0	52	0	0	146	
147	Spray Poison	147	0	0	0	1	5	0	0	0	147	
148	Spider Claw	148	0	0	-1	1	0	0	0	0	148	
149	Flesh Eater	149	4	-1	1	1	0	150	0	0	149	
150	Chest Wound	150	0	0	0	1	0	0	0	0	150	
151	Wand	151	-2	0	0	1	0	0	0	0	151	
152	Trueshot Longbow	152	30	0	0	1	12	0	0	0	152	
153	Stick	153	0	1	1	1	0	0	0	0	153	
154	Bow of War	154	0	0	0	13	7	0	0	0	154	
155	Black Bow	155	5	0	0	1	12	156	0	0	155	
156	Feeblemind	156	0	0	0	1	0	0	0	0	156	
157	Oath Rod	157	3	5	3	1	0	156	0	0	157	
158	Flailing Hands	158	4	-1	2	2	0	0	159	0	158	
159	Fear and Cold	159	0	0	0	1	0	160	0	0	159	
160	Cold	160	0	0	0	1	0	0	0	0	160	
161	Just Man's Cross	161	4	0	0	-2	12	0	0	0	161	
162	The Summit	162	12	6	1	1	0	0	0	0	162	
163	Thistle Mace	163	-1	-1	1	1	0	51	0	0	163	
164	unused	164	0	0	0	1	0	0	0	0	164	
165	Great Club	165	0	1	2	1	0	0	0	0	165	
166	Golden Claw	166	0	0	-1	1	0	0	0	0	166	
167	Poison Sling	167	-4	0	0	1	12	0	0	5	167	
168	Piercer	168	10	0	0	-2	12	0	0	0	168	
169	Gate Cleaver	169	-1	-1	2	1	0	0	0	0	169	
170	Sword of Justice	170	3	4	2	1	0	0	171	0	170	
171	Small Area Fire	171	0	0	0	1	0	0	0	0	171	
172	Magic Sceptre	172	1	0	1	1	0	0	0	0	172	
173	Star of Heroes	173	4	-2	1	1	0	174	0	0	173	
174	Break Armor	174	0	0	0	1	0	0	0	0	174	
175	Chi Kick	175	0	0	0	1	0	0	0	0	175	
176	Stone Bird	176	0	2	5	4	0	0	0	0	176	
177	Astral Serpent	177	3	0	2	1	0	52	0	0	177	
178	Summer Sword	178	1	2	1	1	0	0	0	0	178	
179	Sword of Aurgelmer	179	2	2	1	1	0	694	0	0	179	
180	Ethereal Crossbow	180	5	0	0	-2	12	0	0	0	180	
181	Implementor Axe	181	2	0	2	1	0	0	0	0	181	
182	Trunk	182	0	0	0	1	0	0	0	0	182	
183	Snake Bladder Stick	183	0	1	2	1	0	0	0	0	183	
184	Hammer of the Forge Lord	184	1	0	2	1	0	0	171	0	184	
185	Lightning Swarm	185	0	0	2	1	0	0	0	0	185	
186	The Admiral's Sword	186	5	2	1	1	0	694	0	0	186	
187	Pain Sickle	187	4	4	1	1	0	64	0	0	187	
188	Tartarian Chains	188	3	-2	2	2	0	0	189	0	188	
189	Enslavement	189	0	0	0	1	0	0	0	0	189	
190	Phantasmal Claw	190	0	0	-1	1	0	0	0	0	190	
191	Ember	191	5	4	1	1	0	0	192	0	191	
192	Small Area Frost and Fire	192	0	0	0	1	0	0	171	0	192	
193	Trident from Beyond	193	2	3	3	1	0	194	0	0	193	
194	Soul Slay	194	0	0	0	1	0	0	0	0	194	
195	Sword of Many Colors	195	3	5	2	1	0	0	196	0	195	
196	Killing Light	196	0	0	0	1	0	0	0	0	196	
197	Gaze of Death	197	100	0	0	1	10	0	0	0	197	
198	Flame Burst	198	0	0	1	1	0	0	0	0	198	
199	Banefire Bow	199	0	0	0	1	12	64	0	0	199	
200	Bane Burst	200	0	0	1	1	0	0	0	0	200	
201	Magic Spear	201	2	0	4	1	0	0	0	0	201	
202	Magic Sword	202	2	2	1	1	0	0	0	0	202	
203	Barbed Tail	203	0	0	0	1	0	54	0	0	203	
204	Shark Bite	204	1	-1	4	1	0	0	0	0	204	
205	Sword of Injustice	205	3	2	1	1	0	64	0	0	205	
206	Ballista	206	-2	0	0	-3	10	0	0	0	206	
207	Venomous Claw	207	0	0	-1	1	0	50	0	0	207	
208	Thunder Whip	208	0	0	4	1	0	0	134	0	208	
209	Fire Javelin	209	-2	0	0	1	2	0	216	0	209	
210	Fire Sling	210	-3	0	0	1	15	0	216	0	210	
211	Fire Short Bow	211	0	0	0	1	12	0	216	0	211	
212	Fire Long Bow	212	0	0	0	1	12	0	216	0	212	
213	Fire Crossbow	213	2	0	0	-2	12	0	216	0	213	
214	Fire Arbalest	214	2	0	0	-3	10	0	216	0	214	
215	Fire Boulder	215	0	0	0	1	2	0	171	0	215	
216	Fire	216	0	0	0	1	0	0	0	0	216	
217	Fire Bow of War	217	0	0	0	13	7	0	216	0	217	
218	Star of Thraldom	218	6	-2	1	1	0	0	219	0	218	
219	False Fetters	219	0	0	0	1	0	0	0	0	219	
220	Enchanted Pike	220	3	1	5	1	0	0	0	0	220	
221	Fire	221	0	0	0	1	0	0	0	0	221	
222	Cold	222	0	0	0	1	0	0	0	0	222	
223	Venomous Bite	223	0	-1	0	1	0	50	0	0	223	
224	Poison Spit	224	0	0	0	1	5	0	0	0	224	
225	Fire Breath	225	0	0	0	1	5	0	0	0	225	
226	Frost Breath	226	0	0	0	1	5	0	0	0	226	
227	Divine Armament	227	0	0	0	1	0	0	0	0	227	
228	Elf Shot	228	0	0	0	1	20	0	0	0	228	
229	Flame Strike	229	0	0	2	1	0	0	0	0	229	
230	Owl	230	0	0	5	1	0	0	0	0	230	
231	Thunder Fist	231	0	0	-1	1	0	0	232	0	231	
232	Shock	232	0	0	0	1	0	0	0	0	232	
233	Rune Smasher	233	2	1	1	1	0	0	0	0	233	
234	Jotun Spear	234	0	0	3	1	0	0	0	1	234	
235	Pincer	235	0	0	0	1	0	0	0	0	235	
236	Claw	236	0	0	-1	1	0	0	0	0	236	
237	Bite	237	0	0	0	1	0	0	0	0	237	
238	Magic Staff	238	2	4	3	1	0	0	0	0	238	
239	Venomous Fangs	239	0	-1	0	1	0	51	0	0	239	
240	Branch	240	0	0	0	1	0	0	0	0	240	
241	Hell Sword	241	5	1	2	1	0	0	0	0	241	
242	Hunter's Knife	242	2	1	0	1	0	0	0	0	242	
243	Lightning	243	3	0	0	1	10	0	704	0	243	
244	Dark Fire Sword	244	4	2	2	1	0	0	221	0	244	
245	Axe of Sharpness	245	2	0	1	1	0	0	0	0	245	
246	Elf Bane	246	3	0	1	1	0	247	0	0	246	
247	Slay Magic	247	0	0	0	1	0	0	0	0	247	
248	Venomous Claw	248	0	0	-1	1	0	50	0	0	248	
249	Venomous Claw	249	0	0	-1	1	0	51	0	0	249	
250	Poisoned Claw	250	0	0	-1	1	0	53	0	0	250	
251	Venomous Fangs	251	0	-1	0	1	0	54	0	0	251	
252	Club	252	0	0	1	1	0	0	0	0	252	
253	Hatchet	253	1	0	1	1	0	0	0	1	253	
254	Plague Breath	254	0	0	0	1	5	0	255	0	254	
255	Area Fear	255	0	0	0	1	0	0	0	0	255	
256	Kryss	256	0	0	1	1	0	0	0	1	256	
257	Bardiche	257	0	-1	4	1	0	0	0	4	257	
258	Claymore	258	1	1	2	1	0	0	0	5	258	
259	Executioner's Axe	259	1	-1	2	1	0	0	0	4	259	
260	Throwing Axe	260	-4	0	0	1	2	0	0	2	260	
261	Web	261	0	0	0	1	0	0	0	0	261	
262	Web Spit	262	0	0	0	1	4	0	0	0	262	
263	Net	263	0	0	4	1	1	0	0	1	263	
264	Composite Bow	264	1	0	0	1	12	0	0	3	264	
265	Spiked Club	265	0	0	1	1	0	0	0	1	265	
266	Great Bow	266	0	0	0	1	12	0	0	4	266	
267	Pick Axe	267	-2	-2	1	1	0	0	0	3	267	
268	Jotun Longsword	268	0	1	1	1	0	0	0	3	268	
269	Soul Leech	269	0	0	0	1	0	0	0	0	269	
270	Consume Soul	270	0	0	0	1	0	0	0	0	270	
271	Life Drain Tentacle	271	0	0	0	1	0	0	0	0	271	
272	Claw of Kurgi	272	5	0	-1	1	0	0	0	0	272	
273	Pincer	273	0	0	0	1	0	0	0	0	273	
274	Enslave Mind	274	100	0	0	1	5	0	0	0	274	
275	Sun Sword	275	3	3	1	1	0	0	276	0	275	
276	Small Area Holyfire	276	0	0	0	1	0	0	0	0	276	
277	Demon Whip	277	4	0	4	1	0	0	171	0	277	
278	Lightning Spear	278	2	2	3	1	0	0	232	0	278	
279	Spectral Javelin	279	-2	0	0	1	2	0	0	0	279	
280	Spectral Spear	280	0	0	3	1	0	0	0	0	280	
281	Spectral Sword	281	0	1	1	1	0	0	0	0	281	
282	Paralyze	282	0	0	0	1	0	0	0	0	282	
283	Paralyze	283	0	0	0	1	0	0	0	0	283	
284	Steal Strength	284	0	0	0	1	0	285	0	0	284	
285	Additional Weakness	285	0	0	0	1	0	0	0	0	285	
286	Touch of Leprosy	286	0	0	0	1	0	143	0	0	286	
287	Phantasmal Bow	287	0	0	0	1	12	0	0	0	287	
288	Obsidian Club Sword	288	0	1	2	1	0	0	0	2	288	
289	Moon Blade	289	4	5	2	1	0	0	0	0	289	
290	Moon Lance	290	1	1	3	1	0	0	0	0	290	
291	unused	291	0	0	4	1	0	0	0	0	291	
292	Fire Blessing	292	0	0	0	1	0	0	0	0	292	
293	Psychic Damage	293	0	0	0	1	0	0	0	0	293	
294	Weakness	294	100	0	0	1	10	0	0	0	294	
295	Twin Spear	295	2	2	3	1	0	0	0	0	295	
296	Twin Spear	296	2	2	3	1	0	0	0	0	296	
297	Serpent Kryss	297	2	1	0	1	0	52	0	0	297	
298	Tartarian Chains	298	3	-2	4	1	0	0	0	0	298	
299	Enchanted Sickle	299	2	1	1	1	0	0	0	0	299	
300	Head Butt	300	1	-1	0	1	0	0	0	0	300	
301	Fire Bola	301	2	0	0	1	50	0	302	0	301	
302	Fire Bonds	302	0	0	0	1	0	0	0	0	302	
303	Vine Bow	303	0	0	0	1	12	0	137	0	303	
304	Evening Star	304	6	-2	1	1	0	0	305	0	304	
305	Fire and Weakness	305	0	0	0	1	0	0	306	0	305	
306	Weakness	306	0	0	0	1	0	0	0	0	306	
307	Jotun Battleaxe	307	1	0	2	1	0	0	0	3	307	
308	Glaive	308	-1	1	3	1	0	0	0	4	308	
309	Jade Knife	309	1	0	0	1	0	0	0	0	309	
310	Infernal Scythe	310	-1	-2	3	1	0	441	0	0	310	
311	Mind Blast	311	100	0	0	1	10	293	0	0	311	
312	Bane Dagger	312	2	0	0	1	0	64	0	1	312	
313	Spider Fangs	313	0	-1	0	1	0	52	0	0	313	
314	Spider Fangs	314	0	-1	0	1	0	52	0	0	314	
315	Machaka Spear	315	-1	-1	4	1	0	0	0	3	315	
316	Obsolete --- Death Poison and Web	316	0	0	0	1	0	261	0	0	316	
317	Rake	317	-1	-1	4	1	0	0	0	1	317	
318	Snake Staff	318	1	3	3	1	0	51	0	1	318	
319	Bite	319	0	-1	0	1	0	0	0	0	319	
320	Flaming Fist	320	0	0	-1	1	0	0	221	0	320	
321	Flaming Wheel	321	0	0	0	1	10	0	0	0	321	
322	Bite	322	0	-1	0	1	0	0	0	0	322	
323	Venomous Bite	323	0	-1	0	1	0	50	0	0	323	
324	Poison Spit	324	0	0	0	1	5	0	0	0	324	
325	Venomous Fangs	325	0	-1	0	1	0	51	0	0	325	
326	Iron Crutch	326	-1	-1	2	1	0	0	0	2	326	
327	Smasher	327	2	0	1	1	0	0	328	0	327	
328	Shatter	328	0	0	0	1	0	0	0	0	328	
329	Slime	329	5	0	3	1	0	0	0	0	329	
330	Alicorn	330	0	0	1	1	0	0	0	0	330	
331	Gore	331	-1	-1	0	1	0	0	0	0	331	
332	Vision's Foe	332	10	0	0	-3	10	0	333	0	332	
333	Eyeloss	333	0	0	0	1	0	0	0	0	333	
334	Gore	334	-1	-1	0	1	0	0	0	0	334	
335	Armloss	335	0	0	0	1	0	0	0	0	335	
336	The Sharpest Tooth	336	2	0	0	1	0	337	0	0	336	
337	The Deadliest Poison	337	0	0	0	1	0	0	0	0	337	
338	Hoof	338	0	0	0	1	0	0	0	0	338	
339	Cornucopia	339	0	0	2	1	0	0	0	0	339	
340	Procas's Axe of Rulership	340	3	-2	1	1	0	0	335	0	340	
341	Picus's Axe of Rulership	341	5	-2	1	1	0	0	335	0	341	
342	Poison Ink	342	0	1	0	1	0	0	0	0	342	
343	Blade Hand	343	0	0	1	1	0	0	0	0	343	
344	Demon-Slayer	344	2	2	1	1	0	0	0	0	344	
345	Fly Whisk	345	0	0	1	1	0	0	0	0	345	
346	Useless Kick	346	-4	-2	0	1	0	0	0	0	346	
347	Flail	347	1	-2	2	2	0	0	0	3	347	
348	Banefire Strike	348	0	0	2	1	0	0	349	0	348	
349	Decay	349	0	0	0	1	0	0	0	0	349	
350	Fire Flare	350	0	0	2	1	0	0	0	0	350	
351	Pitchfork	351	-1	-1	3	1	0	0	0	1	351	
352	Gore	352	1	-1	1	1	0	0	0	0	352	
353	Moose Kick	353	0	0	1	1	0	0	0	0	353	
354	Antlers	354	-1	0	0	1	0	0	0	0	354	
355	Sting	355	0	0	0	1	0	50	0	0	355	
356	Fire Composite Bow	356	1	0	0	1	12	0	216	0	356	
357	Light Lance	357	0	0	3	1	0	0	0	1	357	
358	Snake Hair	358	-2	0	0	3	0	50	0	0	358	
359	Venomous Bites	359	0	-1	0	2	0	51	0	0	359	
360	Sticks and Stones	360	-2	0	0	2	30	0	0	0	360	
361	...	361	0	0	0	1	8	0	0	1	361	
362	Chakram	362	0	0	0	1	2	0	0	2	362	
363	Iron Cudgel	363	0	0	2	1	0	0	0	2	363	
364	Curse Luck	364	0	0	0	1	0	0	0	0	364	
365	Flail of Misfortune	365	3	-3	2	2	0	0	366	0	365	
366	Curse Luck	366	0	0	4	1	0	0	0	0	366	
367	Horror Mark	367	0	0	0	1	0	0	0	0	367	
368	Horror Mark	368	100	0	0	1	30	0	0	0	368	
369	Curse	369	100	0	0	1	30	0	0	0	369	
370	Theft of Reason	370	100	0	0	1	30	0	0	0	370	
371	Theft of Life	371	100	0	0	1	30	0	0	0	371	
372	Poison Bow	372	1	0	0	1	12	50	0	4	372	
373	Stone Spear	373	0	0	3	1	0	0	0	0	373	
374	Flint Sword	374	1	1	3	1	0	0	0	0	374	
375	Dogs	375	-2	0	0	3	0	0	0	0	375	
376	Yari	376	1	0	4	1	0	0	0	1	376	
377	Wakizashi	377	2	1	1	1	0	0	0	4	377	
378	Katana	378	3	2	1	1	0	0	0	7	378	
379	No-Dachi	379	2	2	2	1	0	0	0	6	379	
380	Naginata	380	-1	1	3	1	0	0	0	4	380	
381	Ninjato	381	2	0	1	1	0	0	0	3	381	
382	Shuriken	382	0	0	0	2	4	51	0	1	382	
383	Throw Flames	383	0	0	0	1	3	0	0	0	383	
384	Minor Life Drain	384	0	0	0	1	0	0	0	0	384	
385	Major Life Drain	385	0	0	0	1	0	0	0	0	385	
386	Sceptre of Dark Regency	386	1	0	1	1	0	385	0	0	386	
387	Sleep Touch	387	0	0	0	1	0	0	0	0	387	
388	Pearl Spear	388	0	0	3	1	0	0	0	2	388	
389	Pearl Trident	389	-1	0	4	1	0	0	0	4	389	
390	Scourge of Vengeance	390	2	0	1	2	0	64	0	2	390	
391	Serpent	391	4	0	2	1	0	52	0	2	391	
392	Torch of Strife	392	2	0	1	1	0	622	0	2	392	
393	Touch of Tisiphone	393	0	0	0	1	0	394	0	0	393	
394	Curse of Tisiphone	394	0	0	0	1	0	0	0	0	394	
395	Shadow Brand	395	4	1	1	1	0	0	396	0	395	
396	Leeching Darkness	396	0	0	0	1	0	0	285	0	396	
397	Kick	397	0	0	0	1	0	0	0	0	397	
398	Venomous Fangs	398	0	-1	0	1	0	52	0	0	398	
399	Gore	399	1	-1	0	1	0	0	0	0	399	
400	Devour Soul	400	0	-1	0	1	0	401	0	0	400	
401	Soul Death	401	0	0	0	1	0	0	0	0	401	
402	Holy Scourge	402	5	-2	2	2	0	0	0	3	402	
403	Mesmerize	403	100	0	0	1	5	0	0	0	403	
404	Beak	404	0	-1	-1	1	0	0	0	0	404	
405	...	405	0	0	0	1	8	0	216	1	405	
406	Fire Chakram	406	0	0	0	1	2	0	216	2	406	
407	Fire Shuriken	407	0	0	0	2	4	0	216	1	407	
408	Talons	408	0	0	-1	1	0	0	0	0	408	
409	Small Area Cold	409	0	0	0	1	0	0	0	0	409	
410	O'al Kan's Sceptre	410	0	0	1	1	0	0	411	0	410	
411	Small Area Fatigue	411	0	0	0	1	0	0	0	0	411	
412	Axe of Hate	412	4	0	1	1	0	413	0	0	412	
413	Fatigue and Disease	413	0	0	1	1	0	414	0	0	413	
414	Disease	414	0	0	1	1	0	0	0	0	414	
415	Astral Hooks	415	0	0	0	3	0	367	0	0	415	
416	False Fetters	416	0	0	0	1	0	0	0	0	416	
417	Bite	417	0	0	0	1	0	0	0	0	417	
418	Horror Claw	418	0	0	-1	1	0	0	0	0	418	
419	Lightning Strike	419	0	0	0	1	1	0	704	0	419	
420	Koppo	420	-2	0	0	1	0	421	0	0	420	
421	Limp	421	0	0	0	1	0	0	0	0	421	
422	Stellar Bolt	422	0	0	0	1	10	0	0	0	422	
423	Scorpion Tail	423	0	0	2	1	0	52	0	0	423	
424	Boulder	424	0	0	0	1	5	0	0	0	424	
425	Fire Boulder	425	0	0	0	1	5	0	171	0	425	
426	Obsidian Glaive	426	1	1	3	1	0	0	0	8	426	
427	Granite Glaive	427	-1	0	3	1	0	0	0	0	427	
428	Granite Sword	428	-1	0	1	1	0	0	0	0	428	
429	Stone Club	429	-1	0	2	1	0	0	0	0	429	
430	Doom Glaive	430	2	2	3	1	0	0	431	5	430	
431	Small Area Curse and Decay	431	0	0	0	1	0	0	432	0	431	
432	Small Area Decay	432	0	0	0	1	0	0	0	0	432	
433	Shadow Spear	433	2	0	3	1	0	0	0	3	433	
434	Banefire Crossbow	434	2	0	0	-2	14	0	435	0	434	
435	Area Decay	435	0	0	0	1	0	0	0	0	435	
436	Demon Bane	436	5	2	2	1	0	0	0	0	436	
437	Long Spear	437	0	0	4	1	0	0	0	2	437	
438	Plague Bow	438	5	0	0	1	12	143	0	0	438	
439	Howling Bow	439	2	0	0	1	12	440	0	5	439	
440	Lesser Fear	440	0	0	0	1	0	0	0	0	440	
441	Banish to Inferno	441	0	0	0	1	0	0	0	0	441	
442	Dimensional Shift	442	0	0	0	1	0	0	0	0	442	
443	Dimensional Rod	443	1	1	1	1	0	0	442	0	443	
444	Infernal Sword	444	4	4	2	1	0	441	0	0	444	
445	Spear of the Dragon King	445	2	1	4	1	0	0	0	0	445	
446	Sceptre	446	0	0	1	1	0	0	0	1	446	
447	Venomous Bite	447	1	0	2	1	0	50	0	0	447	
448	Death Blessing	448	0	0	5	1	0	143	0	0	448	
449	Life Drain	449	5	0	0	1	0	0	0	0	449	
450	Tiny Bite	450	0	0	0	1	0	0	0	0	450	
451	Obsidian Club Sword	451	0	0	1	1	0	0	0	2	451	
452	Harpoon	452	-2	0	0	1	1	453	0	1	452	
453	Harpooning	453	0	0	0	1	0	0	0	0	453	
454	Ice Glaive	454	0	-1	3	1	0	0	0	6	454	
455	Bone Glaive	455	0	-1	3	1	0	285	0	5	455	
456	Gaze of Fear	456	100	0	0	1	12	0	0	0	456	
