id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	end
153	Forest of Spider	5	0	0	Nature						1	2																															2301	2302	2308																												2295																																50											
154	Great Mababwe	5	0	0	Holy	1			2																																		2309																														2297	2296																															71											
155	Novgård	5	0	0	Air	1	2																																				2349																														2342																																17											
156	Pine of Skulls	5	0	0	Nature						1	1																															2352																																																														54											
157	Campus Sceleris	5	0	0	Holy						5																																																																																														70											
158	Campus Sceleris	5	0	0	Holy						9																																																																																														70											
159	Campus Sceleris	5	0	0	Holy						13																																																																																														70											
160	Palace of Pearls	5	0	0	Water			4				1																															1059	2863																													1061	1088	2865																														23											
161	Palace of the Setting Sun	5	0	0	Holy	1				1																																																															3043	3045																															68											
162	The Grove of Aphros	5	0	0	Nature			2				3																															2401																														2399																																51											
163	The Grove of Aphros	5	0	0	Nature			2				2																															2401																														2399																																51											
164	The City of Unfullfilled Dreams	5	0	0	Astral			1		3																																																																																															40											
165	The Chamber of the Broken Seal	5	0	0	Death						5										Death																																																																																				48											
166	The Chamber of the Broken Seal	5	0	0	Death						1																																2508																																																														48											
167	The Womb of the Earth	5	0	0	Earth			1																																			2492																														2493																																32											
168	Spire Horn Mountain	5	0	0	Air		1																																				2558																																																														8											
169	Ravens Vale	5	0	0	Earth				1																																		2559																														2560																																25											
170	Lake Urmia	5	0	0	Water		1	1		1																																	2592																																																														18											
171	Mountain of the Everburning Caverns	5	0	0	Fire	1																																					2587																														2629																																1											
172	Palace of the Sun Kings	5	0	0	Holy	1	1			1																																	2653																														2658	2659																															69											
173	Tombs of the Sun Kings	5	0	0	Death				1		1																																2667																														2663																																47											
174	Cavern of the Sun	5	0	0	Fire	3			1																																		2672																														2684																																7											
175	House of Knives	5	0	0	Blood						2																																																														2736																																67											
176	House of Jaguars	5	0	0	Blood																																																																				2736																																67											
177	The Sacred Cenote	5	0	0	Water			1																																			2730	2731																													2732																																22											
178	The Flooded City	5	0	0	Water			2	1																																		2729																														2714																																23											
179	The Cave of Perpetual Darkness	5	0	0	Death						1																																																														2719																																48											
180	The Flooded City	5	0	0	Water			1	1																																		2747																														2749																																23											
181	The Obsidian Cavern	5	0	0	Death						2																																2743																														2754																																48											
182	Telkhinis	5	0	0	Earth		1	1	3		1																																2839																														2833	2834	2836																														33											
183	Telkhinis	5	0	0	Earth		1	1	6		1																																2839																														2833	2834	2836																														33											
184	Telkhinis	5	0	0	Earth		1	1	9		1																																2839																														2833	2834	2836																														33											
185	Ker-Ys	5	0	0	Water		2	2	1																																		2915																														2917	2919	2921																														24											
186	Great Temple of the Moon	5	0	0	Holy					2																																	2953																														2948	2952																															69											
187	The Swamps of Ur	5	0	0	Nature							1																															2963																																																														52											
188	The House of Water	5	0	0	Water			1	1																																																																																																23											
189	Pine of Skulls	5	0	0	Nature					1		1																															2992	2997																																																													54											
190	Oak of Storms	5	0	0	Air		1					1																																																													2999																																13											
191	Hall of the Dawn	5	0	0	Air	1	1																																																																		3000	3001																															17											
192	The Royal Academy	5	0	0	Earth																																																																				3010																																29											
193	The Red River	5	0	0	Fire	1		1																																			3052																																																														5											
194	City of Gold and Marble	5	0	0	Holy		1		1																																																																3112	3116	3117																														68											
195	Forge of the Cyclopes	5	0	0	Fire	2			2						100																																																										3118																																1											
196	The Burning Fields	5	0	0	Fire	1			1		1																																																														3139																																2											
197	Fortress of the Cyclopes	5	0	0	Earth	1			1																																																																3138																																29											
198	The Orichalcum Palace	5	0	0	Holy		1			1																																	3159																														3158	3157																															68											
199	Black Korkyra	5	0	0	Water			1	1																																																																																																25											
200	Gold Apple Tree	5	0	0	Fire	1											-5																																																																																								10											
201	Orichalcum Mine	5	516	0	Fire										100																																																																																										1										150	
202	Shattered Volcano	5	0	0	Fire	1					1																																																																																														2	102	3227	3226								
203	Telepylos	5	0	0	Earth				1																																		3216																														3225	3228																															29											
204	The Burning Mountain	2	223	0	Fire	3															Heat																																																																																				1											
310	Tar Pits	0	219	1	Fire	1																																																																																																			5											
311	Sun Ridge	0	223	1	Fire	2																																																																																																			3											
312	Gold-Leafed Tree	1	223	2	Fire	2																																																																																																			10											
313	Bronze Pillar	0	735	3	Fire	1																																																																																																			3											
314	Plain of Perpetual Drought	0	8	0	Fire	1															Heat																																																																																				2											
315	Magus Temple	1	223	1	Fire	1				1									lab																																																																480																						4											
316	Alchemists Guild	1	223	1	Fire	1			1																																																																										551																						4											
317	Smoke Forest	1	2	1	Fire	1	1																																																																																																		3											
318	Rage Wind Heath	1	9	1	Fire	1	1																																																																																																		2											
319	Bog of Strange Lights	1	134	1	Fire	1		1																																																																																																	3											
320	Copper Cliff	1	197631	1	Fire	1			1																																																																																																0											
321	Stargazers Cliff	1	223	1	Fire	1				1																																																																																															0											
322	Desert of Bones	0	8	1	Fire	1					1										Heat																																																														2245																						2											
323	Lantern Forest	1	2	1	Fire	1						1																																																																																													3											
324	Orichalcum Mine	1	516	2	Fire										100																																																																																										1	70	3159								150	
325	Volcano	2	223	0	Fire	3															Heat																																																																																				1											
326	Solar Lens	2	223	1	Fire	1																																			F	3																																																															5											
327	Solar Circle	2	223	2	Fire	1																																																			20%																																																5											
328	Tower of the Golden Order	2	223	1	Fire	3				2									lab																																																																101																						4											
329	Tower of the Golden Order	2	223	1	Fire	2				3									lab																																																																101																						4											
330	Tower of the Golden Order	2	223	1	Fire	2				2									lab																																																																101																						4											
331	Academy of High Magics	2	223	1	Fire	1				1									lab																																																																312	302																					4											
332	Ashen Fields	2	9	1	Fire	1																																																	20%																																																		2											
333	Fountain of Fire	2	735	1	Fire	3															Heat																																																																																				5											
334	The Steel Ovens	1	17119	0	Fire										75																																											20%																																															1											
335	High Temple of the Magii	1	16607	1	Fire	2				2									lab																																																																480	481																					4											
336	The Citadel of Pyriphlegeton	1	17119	2	Fire	4													lab																																																																98	99																					4											
337	The Glowing Hill	1	16607	2	Fire																																																																									849																											3											
338	The Fire Prison	1	17119	2	Fire	4																																																					20%																																														7											
339	The Temple of the Raging God	1	16607	2	Fire	2															Turmoil																																																														389	98	241																				6											
340	The Brass Door Hill	1	16607	3	Fire	3																																																																																																			3											
341	Prison of the Desert Sun	2	16392	4	Fire	5															Heat	Heat																																																																																			6											
342	The Desert of Ptah	5	16392	0	Fire	2			2		2																																																																																														2											
343	Fountain of Rubies	2	735	2	Fire	3								200																																																																																											5											
344	Dragon Forest	2	16386	2	Fire	2	1																																																																																																		3											
345	Enchanted Pyre	0	223	1	Fire	1																																																																																																			5											
346	Rageflame Tower	1	223	1	Fire	1																																																																																																			4											
347	Steam Swamp	1	128	2	Fire	1		1																																																																																																	5											
348	Smoke Gorge	1	8	2	Fire	1	1																																																																																																		5											
349	Magma Pit	1	516	2	Fire	1			1																																																																																																5											
350	Starfire Crystals	1	4	2	Fire	1				1																																																																																															0											
351	Ash Valley	1	8	2	Fire	1					1																																																																																														2											
352	Flame Forest	1	2	2	Fire	1						1																																																																																													3											
353	City of Ashes	2	16392	2	Fire	1					1																																																																								2245																						6											
354	Temple of the Solar Bull	2	223	2	Fire	2																																																																													1873																						6											
355	Smoulderstone	0	223	1	Fire	1																																																																																																			5											
356	Wildfire Glade	0	2	1	Fire	1																																																																																																			3											
357	Caverns of Glowing Moss	0	516	1	Fire	1																																																																																																			7											
358	Glowing Fissure	1	4	1	Fire	1																																																																																																			5											
359	Smouldering Maze	1	223	1	Fire	1																																			F	2																																																															5											
360	Scorched Tower	2	16607	2	Fire	2																																																											3%																																								4											
361	House of Embers	2	16607	1	Fire	1																																																																																																			4											
362	Heart of the Desert	2	16392	3	Fire	2															Heat																				F	2																																																															5											
363	Egg of the Phoenix	2	223	3	Fire	2																																																																																																			3											
364	House of Aratron	2	16607	2	Fire	2			1																																																																										551																						6											
365	Rune of Fire	1	223	2	Fire																																				F	2																																																															5											
366	Maze of Frozen Flames	2	16591	2	Fire																																				FW	2																																																															5											
367	Devil's Furnace	1	16607	3	Fire	1																																											2286	2																																																							1											
368	Isle of Rebirth	2	16416	6	Fire	1					1																																																			10%																																											0											
369	Dragon Lair	2	16388	6	Fire	2																																																																																																			7											
370	Altar of Catharsis	5	16607	4	Fire																																												594	1																																																							6											
371	Thunder Oak	0	223	1	Air		1																																																																																																		13	24		2988								
372	Canyon of Wild Winds	0	95	1	Air		2																																																																																																		9											
373	Blasted Heath	1	223	2	Air		2																																																																																																		10											
374	Cave of Clouds	0	524	3	Air		1																																																																																																		15											
375	Mist Covered Highlands	0	4	0	Air		1																																																																																																		9											
376	Desert of Sighs	0	8	1	Air		1				1																																																																								2245																						10											
377	Cypress Forest	0	32770	1	Air		1					1																																																																																													13											
378	Howling Gorge	1	223	1	Air		1																																																																																																		15											
379	Canyon of Playful Winds	1	95	1	Air		1																																																																																																		8											
380	Cracked Tower	1	223	1	Air		2																																																																																																		12											
381	Elusive Lights	1	735	1	Air	1	1																																																																																																		10											
382	Ice Mists	1	223	1	Air		1	1																																																																																																	9											
383	Singing Stones	1	735	1	Air		1		1																																																																																																10											
384	Cloud Pillars	1	223	1	Air		1			1																																																																																															11											
385	Mirrorlake	1	223	2	Air		1	2																																																																											341																						10											
386	Dragon Cliff	2	223	1	Air		1																																																20%																																																		9											
387	Tower of the Silver Order	2	223	1	Air		3			2									lab																																																																100																						12											
388	Tower of the Silver Order	2	223	1	Air		2			3									lab																																																																100																						12											
389	Tower of the Silver Order	2	223	1	Air		2			2									lab																																																																100																						12											
390	Academy of High Magics	2	223	1	Air		1				1								lab																																																																312	302																					12											
391	Cloud Abode	2	223	2	Air		2												lab																																																																93	92																					11											
392	Ivory Tower	2	223	2	Air		3			1									lab																																																																343																						12											
393	Twin Spire Tower	2	223	1	Air		1			1																																																																									343																						12											
394	Stone Spires	2	8	1	Air		2																																		A	2																																																															12											
395	Tempest Spire	2	4	1	Air		1																																																		20%																										93																						12											
396	Blizzard Valley	2	4	1	Air		1	1													Cold																																				20%																																																9											
397	Forest of Joy	1	49154	1	Air		1										-5																																																																																								13											
398	The Cloven Mountain	1	16388	1	Air		3		1																																																																																																9											
399	Stairway Mountain	1	16388	1	Air		2		1																																																																																																9											
400	Mirror Wall Palace	1	16607	1	Air		3																																																																												343																						12											
401	The Flailing Forest	1	16386	2	Air		2					1																																																																																													13											
402	The Whirlwind of Cyclon	1	16607	2	Air		4																																																																																																		11											
403	The Doom Cloud	1	16607	2	Air		2				2										Misfortune																																																																																				14											
404	The Inverted Tower	1	17119	3	Air		4												lab																																																																341																						12											
405	The Rainbow Shroud	1	16607	3	Air		2					2																																																							20%																																						10											
406	Palace of Dreams	2	16385	4	Air		4			1																																																																																															12											
407	Dragon Mountain	2	16388	0	Air		1																																										593	1																																																							9											
408	Silver Forest	2	2	1	Air		1		1					40																																																																																											13											
409	Valley of the Roc	2	16388	3	Air	1	1		1					200																																																																																											9											
410	Enchanted Windmill	0	223	1	Air		1									50																																																																																									10											
411	Whisperwind Tower	1	223	1	Air		1																																																																																																		12											
412	Scorchwind Waste	1	8	2	Air	1	1																																																																																																		10											
413	Saltspray Cliffs	1	64	2	Air		1	1																																																																																																	9											
414	Copper Mists	1	8	2	Air		1		1																																																																																																9											
415	Moonwind Marsh	1	128	2	Air		1			1																																																																																															13											
416	Plaguewind Waste	1	8	2	Air		1				1																																																																																														10											
417	Thunder Woods	1	223	2	Air		1					1																																																																																													13											
418	Dragon Jaws	2	16388	0	Air	1	1		1																																								593	1																																																							9											
419	Tempest Hall	2	223	2	Air		3																																																																																																		12											
420	Copper Idol	0	223	2	Air		1																																																																																																		10											
421	Sparkling Fields	0	223	1	Air		1																																																																																																		10											
422	Skysplit Oak	0	87	1	Air		1																																																																																																		13											
423	Wailing Woods	1	16386	1	Air		1				1						3																																																																																								13											
424	Nest of Obsidian Snakes	1	223	3	Air		2																																																																																																		15											
425	Black Hawk Nest	1	6	2	Air		1																																										517	2																																																							13											
426	Ziggurat of Thunder	2	223	1	Air		2																																																																																																		12											
427	The Highest Peak	1	16388	2	Air		1																																		A	2																																																															9	56		1286								
428	Pinnacle of Power	2	16607	3	Air		1																																		A	3																																														0																	12											
429	Rune of Air	1	255	2	Air																																				A	2																																																															11											
430	Mirage	0	8	1	Air		1																																																																																																		10											
431	Translucent Tower	5	16607	3	Air														lab																						A	2																																									93																						12											
432	Well of White Water	0	735	1	Water			1																																																																																																	22											
433	Mercury Pond	0	735	1	Water			2																																																																																																	22											
434	Singing Stream	1	735	2	Water			2																																																																																																	19											
435	Weeping Stone	0	735	3	Water			1																																																																																																	19											
436	Boiling Bog	0	134	1	Water	1		1																																																																																																	20											
437	Lake of Mists	1	223	0	Water			1																																																																																																	18											
438	Sinkmarsh	0	130	1	Water			1																																																																																																	20											
439	Lantern Fens	0	130	1	Water	1																																																																																																			20											
440	Geyser	1	223	1	Water	1		1																																																																																																	22											
441	Pearl Beach	1	64	1	Water					1				50																																																																																											18											
442	Waterfall	1	735	1	Water		1	1																																																																																																	19											
443	Rockside Spring	0	4	1	Water			1	1																																																																																																19											
444	Well of Yesterdays Waters	1	735	1	Water			1		1																																																																																															22											
445	Corpse Candles' Marsh	0	130	1	Water			1			1																																																																																														20											
446	Overgrown Lake	1	223	1	Water			1				1																																																																																													20											
447	Lifeless Lake	1	735	1	Water						1																																																																																														18											
448	River Fortress	2	223	1	Water			1												3																																																																																					21											
449	Bottomless Lake	2	735	1	Water			1																																															20%																																																		18											
450	Mist Swamps	1	130	1	Water		1	1																																																																																																	20											
451	Academy of High Magics	2	223	1	Water			1					1						lab																																																																312	302																					21											
452	Frost Vale	2	4	2	Water			1													Cold																																																														309																						22											
453	Azure Academy	1	16607	1	Water			1											lab	3																																																															97	96																					21											
454	Rustwater	1	16607	1	Water	1		2	2																																																																																																20											
455	The Ferry	1	16607	1	Water			1			1																																																																																														18											
456	Mount Frost	1	16388	1	Water			2													Cold																												511	2																																																							22											
457	The Forest of the Lake	1	16386	1	Water			2				1																																																																																													20											
458	Stony Swamps	1	16514	1	Water				1																																																																																																20											
459	The Frozen Forest	1	16386	2	Water			3				1									Cold																																																														309																						20											
460	The Sea of the Tears of Men	2	16607	2	Water			2			2																																																																																														18											
461	The Water Sphere	1	16607	3	Water			3																																	W	2																																																															22											
462	The Great Mirror of Maaki	2	16607	3	Water		1	1		1																															FAWESDNB	1																																																															22											
463	The Sea Underneath	2	17119	4	Water			5																																																																																																	24											
464	Temple of the Turning Tide	2	64	1	Water			1																																																20%																											529																						23											
465	Black Ice Valley	2	4	1	Water			1			1																																														20%																																																18											
466	Frozen Fountain	2	735	2	Water			3																																																																																																	19											
467	Frozen Lands	2	223	0	Water			1													Cold																																																																																				22											
468	Academy of the Crescent Moon	2	16607	3	Water			2		2									lab																																																																999																						21											
469	Well of All Waters	2	16607	3	Water			3																																																												1																																					22											
470	The Swamp of Dread	2	16512	1	Water			1			2																																																																																														20											
471	The Sunless Sea	2	16904	3	Water			3																																																																																																	24											
472	Healing Spring	2	223	2	Water			1				1																																																		10%																																											22											
473	Enchanted Well	0	735	1	Water			1																																																																																																	22											
474	Icebrick Tower	1	223	1	Water			1																																																																																																	21											
475	Steam Fountain	1	16	2	Water	1		1																																																																																																	22											
476	Rain Ridge	1	4	2	Water		1	1																																																																																																	18											
477	Meltwater Stream	1	4	2	Water			1	1																																																																																																19											
